,Latitude,Longitude,Algorithm Loss,Ordinance Loss,Existing Loss,Algorithm to Ordinance Ratio,Algorithm to Existing Ratio,Ordinance to Existing Ratio,Algorithm Reduction,Ordinance Reduction
0,33.866890000000005,-117.85707,0.10167937267593777,0.09129423194352312,0.1228629290270584,1.1137546207611357,0.8275838243571799,0.7430575900027352,0.17241617564282008,0.2569424099972648
1,34.097409999999996,-118.1557,0.11290869169323822,0.07606282579712217,0.12355165671063359,1.4844135819301905,0.9138581764037215,0.615635822474372,0.08614182359627853,0.384364177525628
2,34.09702,-118.15593999999999,0.15104939458455813,0.10367397355447364,0.1931737168968267,1.4569654215596541,0.7819355397361485,0.5366877814430909,0.2180644602638515,0.4633122185569091
3,34.095859999999995,-118.15733999999999,0.18130343999141751,0.11705919701746205,0.19721321120472243,1.5488184150483448,0.9193270515899193,0.5935667103759373,0.08067294841008066,0.40643328962406267
4,34.09648,-118.15982,0.11963576564933916,0.10265613416457292,0.13073233695104594,1.1654029895334397,0.9151199193672946,0.7852390354118244,0.08488008063270536,0.21476096458817562
5,34.0955,-118.16032,0.14502389360176307,0.0788805859488062,0.17563275080998056,1.8385245476736711,0.8257223833991325,0.4491223054073108,0.1742776166008675,0.5508776945926892
6,34.09851,-118.16205,0.18603787582229853,0.14072364577349727,0.22615577717750826,1.3220086418293702,0.8226094338340894,0.6222421002451074,0.17739056616591065,0.3777578997548926
7,34.09584,-118.16215,0.1639936799727885,0.10392418611560338,0.1902545268763768,1.5780126465495232,0.861969923477027,0.5462376523799143,0.13803007652297306,0.4537623476200857
8,34.097609999999996,-118.16219,0.12846643566379318,0.11125806447857407,0.14327923165027423,1.1546707761443493,0.8966158890170688,0.7765121518109505,0.10338411098293121,0.22348784818904954
9,34.094229999999996,-118.16219,0.1080892600247876,0.07780996208562295,0.1262085185710923,1.389144232018067,0.856433949534886,0.6165190984457455,0.14356605046511395,0.3834809015542545
10,34.07958,-118.16266,0.1771982638378843,0.165828762556692,0.2058480836442379,1.0685616964506108,0.8608205658311187,0.8055880803985996,0.13917943416888134,0.19441191960140036
11,34.07398,-118.16301999999999,0.10517569038210876,0.07503553219330551,0.12333815957043354,1.4016784756208112,0.852742498740198,0.6083724003555906,0.14725750125980197,0.3916275996444094
12,34.09019,-118.16328,0.1211950067931731,0.11148713006084561,0.1439427895268371,1.0870762098461884,0.8419665006601611,0.7745238954123481,0.1580334993398389,0.22547610458765188
13,34.09405,-118.1633,0.11353483794396704,0.10236419671284173,0.1322977391844156,1.1091264484052161,0.8581767053910564,0.7737410884259467,0.1418232946089436,0.2262589115740533
14,34.070040000000006,-118.16361,0.09192410528482625,0.08384433113540349,0.12093812288208138,1.0963663737310327,0.7600920461983296,0.6932828882845689,0.2399079538016704,0.30671711171543115
15,34.08992,-118.16391999999999,0.12471491815549922,0.12278609684489103,0.15076169053697472,1.0157087924461412,0.8272321550076579,0.8144383125949188,0.1727678449923421,0.18556168740508117
16,34.08426,-118.16582,0.14003992595439663,0.08317121038902422,0.17755466036421053,1.6837548149098134,0.7887144480867949,0.46842594961133976,0.21128555191320508,0.5315740503886602
17,34.08396,-118.16582,0.11901211236884449,0.12217316873011688,0.15273971031996217,0.9741264273151887,0.7791825198537797,0.7998782273070055,0.22081748014622027,0.20012177269299447
18,34.08227,-118.16585,0.17277548512282798,0.11930266065745795,0.20074876570747474,1.4482114998164317,0.8606552798167207,0.5942883894554167,0.13934472018327926,0.40571161054458327
19,34.07358,-118.16597,0.10515565030142073,0.07510487669714168,0.1232676805974297,1.4001174747341367,0.8530674852627459,0.6092827928061764,0.1469325147372541,0.39071720719382363
20,34.08818,-118.166,0.10935110189415335,0.0789873235489577,0.12750440201518803,1.384413308122482,0.8576260910672535,0.6194870318245868,0.14237390893274648,0.38051296817541325
21,34.084340000000005,-118.16651,0.15042033030398128,0.15688330945934725,0.18000062081965418,0.9588039086016303,0.8356656194796688,0.8715709353943364,0.16433438052033122,0.1284290646056636
22,34.08899,-118.16718,0.15144352769296968,0.15791725941964277,0.18106031331379488,0.9590055466358489,0.8364258567834439,0.8721804161796463,0.16357414321655606,0.12781958382035374
23,34.0852,-118.16824,0.10844227144041647,0.07821215140079932,0.12653788570706492,1.3865143650722822,0.8569944948460749,0.6180927629995365,0.14300550515392507,0.3819072370004635
24,34.08821,-118.16903,0.21130051161041905,0.12315792480985854,0.2789145533061441,1.7156874958443995,0.7575815213144863,0.4415614866631828,0.2424184786855137,0.5584385133368173
25,34.0875,-118.16953999999998,0.1754013066497669,0.14725325020871,0.22912495330287722,1.1911540587468268,0.7655268626193947,0.6426766185263894,0.23447313738060527,0.35732338147361065
26,34.117909999999995,-118.17002,0.1627969598527918,0.10295744458849013,0.1890278598120439,1.581206298422361,0.8612326247287873,0.5446680964957431,0.13876737527121275,0.4553319035042569
27,34.11822,-118.17006,0.2204173285338898,0.12044968011140354,0.27599906049527195,1.8299536232061926,0.7986162276725057,0.43641337001386976,0.20138377232749427,0.5635866299861303
28,34.08378,-118.17017,0.11901211236884449,0.12217316873011688,0.15273971031996217,0.9741264273151887,0.7791825198537797,0.7998782273070055,0.22081748014622027,0.20012177269299447
29,34.11796,-118.17039,0.12786110427593098,0.11075078402235163,0.14261105637514734,1.1544938973084484,0.8965721699696573,0.7765932518655126,0.10342783003034273,0.22340674813448735
30,34.0804,-118.17056000000001,0.24166588526401053,0.1712096249313289,0.3092100431673736,1.411520440868562,0.7815589778020186,0.553700077712722,0.21844102219798145,0.446299922287278
