,Latitude,Longitude,0
0,33.866890000000005,-117.85707,0.21451625000000002
1,34.097409999999996,-118.1557,0.2543875
2,34.09702,-118.15593999999999,0.2543875
3,34.095859999999995,-118.15733999999999,0.2543875
4,34.09648,-118.15982,0.25680125
5,34.0955,-118.16032,0.25680125
6,34.09851,-118.16205,0.2422175
7,34.09584,-118.16215,0.25785375
8,34.097609999999996,-118.16219,0.25785375
9,34.094229999999996,-118.16219,0.25806625
10,34.07958,-118.16266,0.25927999999999995
11,34.07398,-118.16301999999999,0.25179625
12,34.09019,-118.16328,0.26166875
13,34.09405,-118.1633,0.25806625
14,34.070040000000006,-118.16361,0.2529875
15,34.08992,-118.16391999999999,0.26166875
16,34.08426,-118.16582,0.25384
17,34.08396,-118.16582,0.25384
18,34.08227,-118.16585,0.25384
19,34.07358,-118.16597,0.2503475
20,34.08818,-118.166,0.26045625
21,34.084340000000005,-118.16651,0.25384
22,34.08899,-118.16718,0.26045625
23,34.0852,-118.16824,0.25384
24,34.08821,-118.16903,0.26045625
25,34.0875,-118.16953999999998,0.25988374999999997
26,34.117909999999995,-118.17002,0.25461875
27,34.11822,-118.17006,0.23798124999999998
28,34.08378,-118.17017,0.25384
29,34.11796,-118.17039,0.23798124999999998
30,34.0804,-118.17056000000001,0.25384
31,34.08788,-118.17071000000001,0.25988374999999997
32,34.0804,-118.17076999999999,0.25384
33,34.08835,-118.17085,0.25492625
34,34.08364,-118.1709,0.25384
35,34.08379,-118.17156999999999,0.25384
36,34.11684,-118.17182,0.23798124999999998
37,34.07503,-118.17185,0.25326250000000006
38,34.08084,-118.17192,0.25384
39,34.11591,-118.1723,0.25461875
40,34.087559999999996,-118.17236000000001,0.25527
41,34.11582,-118.17241999999999,0.25461875
42,34.08321,-118.17245,0.249855
43,34.08315,-118.1726,0.249855
44,34.0831,-118.17276000000001,0.249855
45,34.07063,-118.17288,0.25326250000000006
46,34.117129999999996,-118.1733,0.23798124999999998
47,34.11723,-118.17348,0.24488374999999998
48,34.11574,-118.17378000000001,0.24488374999999998
49,34.08671,-118.17395,0.25527
50,34.07005,-118.17428999999998,0.25326250000000006
51,34.08634,-118.17466999999999,0.25527
