,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
11605,34.17201,-118.53736,2,L2,HWS,100X50,10000.0,L2-2S-100X50-HWS,10,55174.092782458356
11606,34.0484,-118.53738999999999,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,77852.34143838068
11607,34.22336,-118.5374,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19251.905897745964
11608,34.223040000000005,-118.53741000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,65255.00908333838
11609,34.2237,-118.53742,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,29287.18882573562
11610,34.224109999999996,-118.53743999999999,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,35410.500710739754
11611,34.17027,-118.53745,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30742.350839723636
11612,34.223929999999996,-118.53746000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,34998.91685919382
11613,34.221509999999995,-118.53748,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,62775.05284668343
11614,34.24122,-118.53751000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,30435.258707007197
11615,34.22225,-118.53752,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,23405.29319054014
11616,34.172670000000004,-118.53753999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17498.42231853398
11617,34.24044,-118.53756000000001,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,83071.30983343288
11618,34.23952,-118.53758,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,27255.15106246827
11619,34.238640000000004,-118.53758,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,40508.76731811756
11620,34.2378,-118.53758,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,24435.641572119108
11621,34.2218,-118.53766,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,56125.31174783698
11622,34.19412,-118.53766999999999,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,38767.57839400883
11623,34.19641,-118.53769,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19060.886342485377
11624,34.2423,-118.53772,3,L4,HWS,100X50,15000.0,L4-3S-100X50-HWS,15,70869.03002020286
11625,34.24325,-118.53775,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,28810.345920320782
11626,34.1704,-118.53777,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17914.63202218115
11627,34.23962,-118.53783999999999,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,48799.673337562104
11628,34.04833,-118.53791000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,57177.887992085634
11629,34.20309,-118.53799,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,59950.313512970686
11630,34.17268,-118.538,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18020.347023821927
11631,34.237770000000005,-118.53801999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,40014.85720007591
11632,34.22224,-118.53801999999999,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,41291.7999088633
11633,34.22419,-118.53805,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36612.984135732884
11634,34.048759999999994,-118.53806999999999,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,57959.18423411546
11635,34.17053,-118.5381,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20030.44805091313
11636,34.24053,-118.53811999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,20162.721588793618
11637,34.222,-118.53811999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37487.99495214438
11638,34.17202,-118.53813000000001,3,L1,HWS,100X30,9000.0,L1-3S-100X30-HWS,9,47985.256269402016
11639,34.17138,-118.53813000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,29831.990093070795
11640,34.2387,-118.53813999999998,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,29582.40610685103
11641,34.23963,-118.53816,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,25503.59970535038
11642,34.22011,-118.53821,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,46910.0895907907
11643,34.20297,-118.53823,3,L2,HWS,60X50,9000.0,L2-3S-60X50-HWS,9,50199.06884103512
11644,34.0487,-118.53841000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,27929.43866270197
11645,34.17273,-118.53843,2,L2,GWB,60X50,6000.0,L2-2S-60X50-GWB,6,39111.63633190017
11646,34.17202,-118.53844,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,54549.2823028573
11647,34.17409,-118.53855,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18399.530927787353
11648,34.17202,-118.5387,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,30175.181932075968
11649,34.17154,-118.53871000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19060.400660620493
11650,34.17738,-118.53878999999999,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,83849.0032080348
11651,34.04885,-118.53885,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,39768.78265244208
11652,34.20278,-118.53891000000002,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,60775.096298109165
11653,34.17201,-118.53891000000002,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,36926.838047902165
11654,34.202940000000005,-118.53895,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,23159.64035394294
11655,34.20227,-118.53895,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18619.092381102106
11656,34.20255,-118.53896,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19396.15672185953
11657,34.17094,-118.53911000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,30529.115583816205
11658,34.171659999999996,-118.53915,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,49453.45963443983
11659,34.17107,-118.53945,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,37483.6986560557
11660,34.17276,-118.53963,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30399.459864819393
11661,34.17196,-118.53981999999999,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,24185.048336100805
11662,34.174859999999995,-118.54008,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17064.247726670765
11663,34.17414,-118.5401,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19192.544929228665
11664,34.17199,-118.54015,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,33022.34012249222
11665,34.04718,-118.5402,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,29170.613200816533
11666,34.17689,-118.54023000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,35691.41565877806
11667,34.175509999999996,-118.54026,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20872.915258653324
11668,34.175259999999994,-118.54026,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,59400.60954758458
11669,34.04918,-118.54031,3,L1,GWB,100X30,9000.0,L1-3S-100X30-GWB,9,55240.41764559763
11670,34.1759,-118.54036,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,39409.01218043768
11671,34.17483,-118.54048,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,35415.819604928154
11672,34.04891,-118.54115,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18335.45993349737
11673,34.04805,-118.54184,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,37598.996993196204
11674,34.04866,-118.54227,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,27826.67481501546
11675,34.04806,-118.5423,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,33237.612706272506
11676,34.04861,-118.5425,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32392.303816906042
11677,34.04851,-118.54307,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18502.263934825158
11678,34.20151,-118.54573,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19263.687084989007
11679,34.20151,-118.54606000000001,3,L4,HWS,100X50,15000.0,L4-3S-100X50-HWS,15,78412.65787961229
11680,34.20148,-118.54638999999999,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31915.203754291175
11681,34.20149,-118.54666999999999,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32503.4885512151
11682,34.23551,-118.54704,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,31094.622890493163
11683,34.19405,-118.54705,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,30427.266465271736
11684,34.19405,-118.54705,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,47394.24142328571
11685,34.22697,-118.54725,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36013.04305239482
11686,34.22697,-118.54746999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36887.559798619994
11687,34.22697,-118.54768,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,31755.34932315565
11688,34.22749,-118.54777,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32605.74783946467
11689,34.22697,-118.5479,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,53899.95145151731
11690,34.20013,-118.54805,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,57564.468773466804
11691,34.22749,-118.54807,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,36151.890308285045
11692,34.2015,-118.54807,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,42554.30689581638
11693,34.22697,-118.54812,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,58201.67288825796
11694,34.22697,-118.54833,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,24277.690313414976
11695,34.22749,-118.54836,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,24165.271191892065
11696,34.22697,-118.54855,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,57732.094872081245
11697,34.22749,-118.54865,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32271.505782632237
11698,34.20149,-118.5487,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37368.20100881389
11699,34.22697,-118.54876999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20301.45846938444
11700,34.22697,-118.54898,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,34480.0751344878
11701,34.20149,-118.54933,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,42929.60004198365
11702,34.20074,-118.54936000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,64420.10501205833
11703,34.18007,-118.54937,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,58586.31852329404
11704,34.18007,-118.54937,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,33784.209672306504
11705,34.22697,-118.54941000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17664.017806787862
11706,34.22749,-118.54946000000001,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,21053.53800360812
11707,34.227909999999994,-118.54948,3,L4,HWS,60X50,9000.0,L4-3S-60X50-HWS,9,50466.71122726014
11708,34.20151,-118.54948999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,33139.46764184142
11709,34.22697,-118.54966,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19226.882028032538
11710,34.227909999999994,-118.54978,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17500.178177346497
11711,34.22749,-118.54978,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,25433.9252908639
11712,34.22698,-118.5499,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32258.502026065325
11713,34.20075,-118.54995,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18940.89330563935
11714,34.227909999999994,-118.5501,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,24226.78306594404
11715,34.201029999999996,-118.55011999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,35287.32261510665
11716,34.22698,-118.55015,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,54489.179488342015
11717,34.22749,-118.5502,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,54287.69164380349
11718,34.04104,-118.55078,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,42819.077272037466
11719,34.23585,-118.55167,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,35964.9862707131
11720,34.227940000000004,-118.55176000000002,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17888.270446233964
11721,34.22793,-118.55196000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,62572.01115176517
11722,34.23551,-118.55207,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19734.44404086876
11723,34.20885,-118.5522,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,58787.738831753195
11724,34.236940000000004,-118.55311999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,38508.29583373195
11725,34.20292,-118.55526,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,36574.65777905196
11726,34.20252,-118.55531,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,22676.16951484171
11727,34.039159999999995,-118.55657,3,L1,GWB,60X30,5400.0,L1-3S-60X30-GWB,5,28020.864831536885
11728,34.18738,-118.5568,3,L4,GWB,100X50,15000.0,L4-3S-100X50-GWB,15,62888.07592537857
11729,34.18724,-118.557,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32791.32674866535
11730,34.189479999999996,-118.55726000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,40565.3914159193
11731,34.18769,-118.55756000000001,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,24494.71848150449
11732,34.20162,-118.55812,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,60292.34489523063
11733,34.201440000000005,-118.56087,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,37438.5970222757
11734,34.2452,-118.56148999999999,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,33573.41844132802
11735,34.20455,-118.56197,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,57749.92208131459
11736,34.2043,-118.56199,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19336.60638659447
11737,34.2039,-118.56199,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17320.098682311047
11738,34.204370000000004,-118.56256,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,55143.03782105926
11739,34.204609999999995,-118.56262,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,36875.1217974709
11740,34.20401,-118.56262,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,28398.06363563719
11741,34.219770000000004,-118.56693999999999,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,38266.88412365328
11742,34.22063,-118.56700000000001,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,36637.40020281734
11743,34.219770000000004,-118.56728000000001,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,25893.665446363295
11744,34.22065,-118.56759,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,57659.29645886792
11745,34.21976,-118.56763000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,35930.30055893589
11746,34.22065,-118.56792,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,56073.60246620955
11747,34.21969,-118.56796999999999,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,52941.919885857584
11748,34.2206,-118.56825,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,28902.498203511772
11749,34.21976,-118.5683,3,L4,HWS,60X50,9000.0,L4-3S-60X50-HWS,9,44088.07498954788
11750,34.21968,-118.56863999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18527.615645274258
11751,34.171,-118.56877,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18223.71800658388
11752,34.21966,-118.56902,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,50710.08432656558
11753,34.169579999999996,-118.56929,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,43061.54982358453
11754,34.16871,-118.56931000000002,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,16649.03600271731
11755,34.20746,-118.57141999999999,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,35666.317116134145
11756,34.21976,-118.57276,3,L4,HWS,60X50,9000.0,L4-3S-60X50-HWS,9,50408.75745854093
11757,34.20166,-118.57361999999999,3,L1,HWS,60X30,5400.0,L1-3S-60X30-HWS,5,28361.127447742907
11758,34.21966,-118.57405,2,L2,HWS,60X50,6000.0,L2-2S-60X50-HWS,6,36360.6424343603
11759,34.20173,-118.57439,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,39003.59300193392
11760,34.21967,-118.57443,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,58452.91584543662
11761,34.20173,-118.57468999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,40901.197586729555
11762,34.21965,-118.5748,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,20205.659431526
11763,34.21973,-118.57515,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,19047.666230361876
11764,34.20156,-118.57536999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18245.31693058244
11765,34.20941,-118.57561000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,28360.05168896962
11766,34.20989,-118.57563999999999,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,26148.540316950282
11767,34.207409999999996,-118.57565,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,34943.31096341249
11768,34.20675,-118.57565,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,40172.22332930154
