,0,1,2
0,26305.210180756727,5959.913283185077,9623.20296275185
1,41556.48691071397,9530.601235291255,14318.080264689728
2,37196.71581916038,9818.440519592112,14023.686904385482
3,132381.96994294188,38071.93566369549,58855.02033138767
4,113642.01252981894,35767.064859089245,48293.41748173825
5,466247.6577588173,150966.9308075912,200894.05509340134
6,307111.97444829653,89627.45290488302,129364.24928141106
7,652892.9585581119,212057.55083475326,299888.9937522786
8,120039408.27764133,56955045.87757053,71819722.71127875
9,188017738.67159182,99841589.20664233,121782150.2796152
10,146237818.43076336,71947596.2827659,89340579.94288865
11,217047212.88690946,108087665.90858652,134902663.50679916
12,210921994.30051112,104172697.55813724,129670383.41238493
13,277826135.16923374,140239234.30536956,174182941.37382883
14,263740080.69214922,132010938.70527908,164349567.19250432
15,441087846.2488948,237175331.40214345,289039947.3427146
16,237412383.86361375,119253976.37545432,148456189.37096938
17,346985479.35100204,179960562.18925244,220744706.9604888
18,345332373.935215,187323932.70679796,227510753.81742513
19,341159162.19705045,176261718.7950421,216320884.60413605
20,420667863.3698752,230346863.3648435,278690253.8893274
21,468943809.8014515,259629010.40054747,313591291.0126192
22,737423304.109235,428370525.9396608,509443463.93715036
23,555597658.1080499,312237071.6529356,374855165.42332894
24,693967120.751396,395501682.86986154,472952277.06088614
25,666968963.6179993,372356868.9407695,447932699.64879483
26,853169294.1578803,487334097.60318017,582020987.8214918
27,892381832.1511135,504147595.42447937,604536215.0380695
28,899830429.1586665,509752048.0433846,610748911.5172837
29,501404483.2382886,279419177.31707805,335585984.4563098
30,515858888.6580131,274422171.0624816,334070595.14571923
31,681242769.9381976,388349597.9582484,464273076.23451793
32,671980411.6590368,371142812.801999,447385794.7294557
33,681856259.2302469,373050120.09817374,451146068.654883
34,1087708943.8975387,642423360.4262488,760400766.0888939
35,16373577.311797962,6570594.092940244,8670876.5433043
36,17004490.35504149,6712382.763610968,9082063.418540385
37,34255291.57867529,16545554.238602275,20741460.62750107
38,31480889.65381386,13192976.25628059,17245382.702739216
39,77896833.74170452,39128839.12716182,48819224.84203207
40,76364561.11846629,34887901.64019671,44820237.91719429
41,20431474.961057372,8286372.6002999,10867818.37982198
42,33771138.2257151,14614772.014014937,19310134.9189655
43,94090225.32240832,56123282.317144305,65689411.291943595
44,50061025.45276605,22007779.859727155,28158565.57689732
45,52856378.29001582,23008259.725946136,29336854.485328577
46,61429513.8140772,27908052.212914135,35312497.726878636
47,62050218.46609377,27390129.29012567,34965986.45535905
48,56323152.514089584,25150509.006107137,31981751.607404366
49,69432644.21960664,30795218.510043934,39302975.9106714
50,72562733.5792366,32651734.08568372,41746574.326124676
51,122307179.69278753,58750067.578560375,73862676.88545683
52,126396735.97460523,63284284.93468179,78691600.4790132
53,106837576.57016617,50057406.32252641,62798936.12354839
54,184594161.1772393,91151022.42517926,113045394.65855366
55,135933874.66753918,66130534.86005716,83423064.98255205
56,227664876.8656489,115783110.66273901,142503336.25121358
57,242436264.795833,124440135.06164783,152113684.5266159
58,246908167.65858385,119991191.38553344,149583539.97245365
59,282146994.3606338,140506338.2390609,174082263.0126805
60,459789625.73121136,254411185.26827702,306102638.1563572
61,238148093.65679842,120956190.92188716,149330134.8501336
62,226182169.526344,112965476.31916526,140282119.55790874
63,234744311.67635044,120120448.9057037,148323338.61536193
64,217411198.8437602,107566224.17051649,134306139.71303305
65,408283476.5847165,228345017.30117637,274544746.9076712
66,340900682.3318254,178891003.42639208,219022616.83918828
67,1655833679.4492106,1033005221.6531538,1207591758.62891
68,1865704956.7212539,1196793361.0640092,1386333792.50804
69,1774379304.9763336,1122408100.978187,1305097491.3426192
70,1973086573.9340546,1261154730.4824214,1461993264.3887448
71,2091059174.622509,1336405803.060539,1549819466.9076657
72,2215988421.450449,1453792159.4728875,1673541353.923495
73,2288341011.3199096,1513626082.3148048,1732624477.5370467
74,1842725054.8355803,1169988308.705645,1357487511.8754582
75,2036162299.4956326,1290219101.6158867,1498825224.4861758
