NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.363501739,1.243111686
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.477968757,1.631971584
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335358614,1.35942619
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339102659,1.867571477
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.332052626,1.360254209
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.470087632,1.86774157
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309563169,1.594949532
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311894948,2.228096156
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999998273,1.38685247
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.00010858,1.483391584
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000000791,1.583529936
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000185518,1.475653018
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000008615,1.292514296
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.00011727,1.40954808
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000034358,1.395282404
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000200645,1.341676217
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.109335173,1.101290338
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.155764882,1.171029904
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.148933227,1.134621079
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.222987864,1.236550953
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.062285985,1.091785606
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.085162724,1.157324267
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.085552433,1.117800661
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.117894498,1.204630571
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.634039956,1.47323914
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.876667601,1.569995231
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.082378214,1.689083986
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.116407287,1.502833466
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.281754098,1.367376955
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.411113734,1.405209401
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.509243497,1.416194615
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.696405059,1.451364843
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.383456758,1.283605417
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.517114347,1.728067684
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335362951,1.383921555
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339098969,1.831094845
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.366347639,1.384154646
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.507733877,1.83156301
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309620309,1.641073889
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311903866,2.31756754
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999997954,1.434957803
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.000109758,1.545671126
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000003376,1.610750218
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000194713,1.475676053
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000018833,1.315524165
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000143284,1.45903071
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000034121,1.395268477
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000200673,1.341697695
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.123737679,1.113444008
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.185592275,1.200129025
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.159350432,1.143023308
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.232727542,1.236204624
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.062285985,1.091785606
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.085162724,1.157324267
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.085552433,1.117800661
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.117894498,1.204630571
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.727128357,1.48978978
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.998624474,1.559866109
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.140482474,1.732809561
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.116421269,1.502847811
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.327031633,1.367313168
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.470521825,1.407054814
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.525824419,1.429781571
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.687400649,1.451372703
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.448873078,1.283604778
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.620236194,1.728071451
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335362363,1.445153989
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339127386,1.946235414
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.402828063,1.445222467
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.569185812,1.94568242
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.30956872,1.751870951
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311887271,2.317000037
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999998768,1.465488256
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.000109702,1.574407102
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000008591,1.642014607
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000210077,1.475802081
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000017836,1.331596555
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000160931,1.487737402
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000032171,1.395276746
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000200274,1.341655713
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.145580478,1.131403478
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.231432345,1.243521161
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.17790878,1.157671617
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.259678505,1.268453799
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.070827474,1.101601832
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.096843389,1.183827812
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.091871101,1.123968419
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.126554268,1.214062802
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.773770926,1.517949272
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,2.075659281,1.613240426
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.244302581,1.739439175
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.116525111,1.502826293
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.327032996,1.381676303
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.470524091,1.413250621
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.559248887,1.444305461
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.731109429,1.451499521
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.474214948,1.363680339
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.648925822,1.867014412
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.33543409,1.483154673
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339218925,2.019561331
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.402776459,1.483005038
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.569206157,2.019600404
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309555348,1.723800624
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311959903,2.317136244
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999997679,1.518546088
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.00010768,1.637622364
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000013906,1.672129556
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000224708,1.4757481
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000017299,1.354405545
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.00016867,1.541487534
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000032457,1.395263432
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000200358,1.341677988
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.145580478,1.131403478
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.231432345,1.243521161
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.191633156,1.16775258
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.25966327,1.285064811
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.070827474,1.101601832
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.096843389,1.183827812
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.103147644,1.134860284
