,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
121,34.12552,-118.18803,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,51423.60290661734
122,34.10752,-118.18806000000001,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,27150.601470810783
123,34.10705,-118.18807,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,32157.247006918864
124,34.12625,-118.18815,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,49556.07428322101
125,34.125479999999996,-118.18818999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19266.204278217414
126,34.09066,-118.18841,3,L1,HWS,60X30,5400.0,L1-3S-60X30-HWS,5,33879.27849706205
127,34.12464,-118.18868,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,36470.28731765201
128,34.10996,-118.18888999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18734.642810247777
129,34.11974,-118.18928000000001,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,39368.6624646109
130,34.12444,-118.1893,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,34410.52541871582
131,34.13368,-118.18936000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,28082.84763083725
132,34.116,-118.18961999999999,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32747.7203575401
133,34.11741,-118.18986000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,31504.69124678147
134,34.13823,-118.19063,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,44325.279763169485
135,34.11635,-118.19073,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,33935.13728621863
136,34.1078,-118.19084,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,40434.00541628929
137,34.116209999999995,-118.19102,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,41712.51404439647
138,34.10775,-118.19138999999998,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19291.183717419663
139,34.10525,-118.19185,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,24671.958350405897
140,34.10838,-118.19187,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,16303.61957469745
141,34.10504,-118.1926,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18665.90519481944
142,34.10568,-118.19261999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,20888.470723967093
143,34.11176,-118.19282,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,22218.284872834407
144,34.11606,-118.19301000000002,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,35156.99111201514
