,Index,NoDamage,Slight,Moderate,Severe,Complete
0,Building_T1-60x30-S2-GS_Variated1_1,0.3311554765292809,0.9181642537198706,1.424166700121491,1.6822239351142834,1.7048014097101927
1,Building_T1-60x30-S2-GS_Variated1_2,0.39219580119928515,0.9847657695996594,1.4772890888452785,1.7162882545817533,1.7603186745207984
2,Building_T1-60x30-S2-GS_Variated1_3,0.35501511477959546,0.9568684627556727,1.4784113898642186,1.7647385177028925,1.8026369316252886
3,Building_T1-60x30-S2-GS_Variated1_4,0.40974412777095826,0.9721659131249278,1.410752486985876,1.6008884696149441,1.6223600871768826
4,Building_T1-60x30-S2-GS_Variated1_5,0.3620296593814214,1.0098831521873501,1.5593700092330747,1.8825710240139226,1.9434328414992896
5,Building_T1-60x30-S2-GS_Variated2_1,0.4322019931434072,1.080844954823626,1.6570305748185326,1.9712786484892313,2.017258548173316
6,Building_T1-60x30-S2-GS_Variated2_2,0.44187190203286497,0.9934377361289353,1.4666978866251523,1.6453660079145367,1.6732020556080007
7,Building_T1-60x30-S2-GS_Variated2_3,0.3454442540344822,0.9763904192985563,1.519688096281477,1.7615258645307617,1.785258649435504
8,Building_T1-60x30-S2-GS_Variated2_4,0.33234685047931345,0.9803601279481833,1.5435951811021535,1.8480541466790457,1.8897029504356377
9,Building_T1-60x30-S2-GS_Variated2_5,0.3694979808960286,1.0035752719842448,1.4985625251676133,1.7129614241026405,1.7400862648259272
10,Building_T1-60x30-S2-GS_Variated3_1,0.38270456188343993,0.9409963537421695,1.4243729988978768,1.6133566343042332,1.6281172505342973
11,Building_T1-60x30-S2-GS_Variated3_2,0.33305624520346344,0.7942806538662546,1.2091855030829488,1.3430160035468468,1.359795147972652
12,Building_T1-60x30-S2-GS_Variated3_3,0.36662028831352345,0.9169648805242201,1.3480458295739193,1.5263849143278168,1.5520354606635691
13,Building_T1-60x30-S2-GS_Variated3_4,0.33663699776714945,0.8802936216440572,1.3473115970974325,1.582588886140232,1.6179053521899203
14,Building_T1-60x30-S2-GS_Variated3_5,0.35195954211929814,0.8278810563611136,1.1773981411598125,1.2490874211537413,1.254446631541796
15,Building_T1-60x30-S2-GS_Variated4_1,0.3675341337392324,0.9599971870710907,1.4216840551594456,1.6157100446261858,1.6336124270150243
16,Building_T1-60x30-S2-GS_Variated4_2,0.3728880233387183,0.956751721152262,1.4296808737165918,1.62862589668434,1.6546312891889152
17,Building_T1-60x30-S2-GS_Variated4_3,0.2985026965767512,0.7861581103848128,1.172025917294639,1.2555083447032724,1.2569918732302625
18,Building_T1-60x30-S2-GS_Variated4_4,0.40422713193504023,0.9941556767385435,1.5273630048550246,1.8033673485537545,1.8319886337679334
19,Building_T1-60x30-S2-GS_Variated4_5,0.35387124095003586,0.941960656875187,1.417015787461319,1.6474239587602553,1.6589134464247333
20,Building_T1-60x30-S2-GS_Variated5_1,0.3564729303970844,0.9409285307329951,1.4616456414810153,1.7335935367985238,1.777815063118224
21,Building_T1-60x30-S2-GS_Variated5_2,0.3911545374667169,0.9249066282970932,1.3803852088457842,1.5866321711695917,1.6191822205538295
22,Building_T1-60x30-S2-GS_Variated5_3,0.3894359911167714,0.9218070402742293,1.3706859281060337,1.5866321711695917,1.613462300137238
23,Building_T1-60x30-S2-GS_Variated5_4,0.4443769286099235,0.9383489990238325,1.3384701611201615,1.573054364206002,1.588199743920037
24,Building_T1-60x30-S2-GS_Variated5_5,0.2631814304252878,0.7721141445410233,1.298965334373074,1.568402147819652,1.598225535384548
25,Building_T1-60x30-S2-GS_Variated6_1,0.26123853703266564,0.7878252017706433,1.2346645956270388,1.3570295996090036,1.3586622821966996
26,Building_T1-60x30-S2-GS_Variated6_2,0.3738892039142382,0.9346898126140735,1.4677428159383723,1.706834867561154,1.7377595826221235
27,Building_T1-60x30-S2-GS_Variated6_3,0.3400107976153962,0.9214167629501124,1.413748444529988,1.6335438977074004,1.652095783968972
28,Building_T1-60x30-S2-GS_Variated6_4,0.3492389096442616,0.8277732904284487,1.1878720597979138,1.3258702490656016,1.3667782140554454
29,Building_T1-60x30-S2-GS_Variated6_5,0.27435462608878103,0.7724232146766745,1.223719295211722,1.3634480464671,1.3637531037684822
30,Building_T1-60x30-S2-GS_Variated7_1,0.3455151385747745,0.964952081858145,1.5550340922625456,1.8081312515894845,1.8282926546451939
31,Building_T1-60x30-S2-GS_Variated7_2,0.3675341337392324,0.892169048674502,1.376738031241615,1.6421786455960232,1.675738280824473
32,Building_T1-60x30-S2-GS_Variated7_3,0.3391113168373171,0.965658252431429,1.532618605850762,1.810391057153737,1.8418240311301277
33,Building_T1-60x30-S2-GS_Variated7_4,0.32058179397255226,0.8657303424322094,1.3240299351656455,1.4992720645926618,1.511912921036398
34,Building_T1-60x30-S2-GS_Variated7_5,0.3735429868951716,0.9367521796158023,1.426787580157801,1.687082480924936,1.7338662492938628
35,Building_T1-60x30-S2-GS_Variated8_1,0.3155846734082559,0.8483856919554148,1.321266165138122,1.4889838385783192,1.521078647716851
36,Building_T1-60x30-S2-GS_Variated8_2,0.3400107976153962,0.9223998050177542,1.3841457065283074,1.608355133234308,1.6302957028625777
37,Building_T1-60x30-S2-GS_Variated8_3,0.3509872658104961,0.9750936567360244,1.564946862870316,1.9057854110155894,1.9413115441514772
38,Building_T1-60x30-S2-GS_Variated8_4,0.27930094358287405,0.8045186415210502,1.3078670737858986,1.5481932643144851,1.5861862160175626
39,Building_T1-60x30-S2-GS_Variated8_5,0.3155846734082559,0.8046849358287975,1.331686402367155,1.591688377283126,1.609636069850195
40,Building_T1-60x30-S2-GS_Variated9_1,0.3956444176280704,0.9172290475259133,1.3663020201699347,1.587263964964487,1.6059638962833755
41,Building_T1-60x30-S2-GS_Variated9_2,0.36627040952516665,0.8026628176046453,1.2048578988714,1.3880099446544025,1.4142158155662763
42,Building_T1-60x30-S2-GS_Variated9_3,0.3751795740550964,0.9049811332954238,1.3977485241029926,1.6445808590236906,1.6709968248436624
43,Building_T1-60x30-S2-GS_Variated9_4,0.3711159876170066,0.9691997637021212,1.389629636214282,1.5718483244729595,1.5774224157766257
44,Building_T1-60x30-S2-GS_Variated9_5,0.412341361587482,0.834361476276827,1.247668156822552,1.502394784484151,1.5346231466732663
45,Building_T1-60x30-S2-GS_Variated10_1,0.3022975194946533,0.7907162758513576,1.1995000670762677,1.3492223877465759,1.3551037925670282
46,Building_T1-60x30-S2-GS_Variated10_2,0.3186366752482364,0.8980435846417217,1.445558783507042,1.7007649075136424,1.742426357920134
47,Building_T1-60x30-S2-GS_Variated10_3,0.3189119896804058,0.9474367267535961,1.4127081668671448,1.5674250201351407,1.597274188546952
48,Building_T1-60x30-S2-GS_Variated10_4,0.330897734461762,0.8983729194949528,1.426871145529475,1.6449438825983087,1.667493025502994
49,Building_T1-60x30-S2-GS_Variated10_5,0.3344947922110971,0.8507961710264043,1.27327480760736,1.402917888199624,1.422067221010685
50,Building_T1-60x30-S3-GS_Variated1_1,0.2638022230415248,0.7333586625258959,1.1850338262456466,1.388907790941789,1.4203982400813582
51,Building_T1-60x30-S3-GS_Variated1_2,0.23932737851959826,0.6457791152280519,0.9209696601044653,0.9928397453404223,0.9976999024554185
52,Building_T1-60x30-S3-GS_Variated1_3,0.3006915201272977,0.8062044251991816,1.2354050942883577,1.3123152482099965,1.3262010937324984
53,Building_T1-60x30-S3-GS_Variated1_4,0.22336839708708806,0.6629861779157324,1.0608551578515084,1.226363648787554,1.243110371995832
54,Building_T1-60x30-S3-GS_Variated1_5,0.26814514367818065,0.6797043291702675,1.0201506972927157,1.1495907727236772,1.1611597318057947
55,Building_T1-60x30-S3-GS_Variated2_1,0.28251765283762587,0.704338577683626,1.054020926214946,1.1923416660711517,1.2024641829384808
56,Building_T1-60x30-S3-GS_Variated2_2,0.19883584628806122,0.7486903885432272,1.1780751994052148,1.349604930929888,1.3568772126298545
57,Building_T1-60x30-S3-GS_Variated2_3,0.2511972767326912,0.7277028456975954,1.1909575567479562,1.3212592763858497,1.3310510122279164
58,Building_T1-60x30-S3-GS_Variated2_4,0.2597956291837359,0.7663874575417595,1.158743229789921,1.256052821466065,1.2640145419543813
59,Building_T1-60x30-S3-GS_Variated2_5,0.25903308571521705,0.7140901201865946,1.1019682179930357,1.2621865536383006,1.2631634060297676
60,Building_T1-60x30-S3-GS_Variated3_1,0.26712879189921235,0.7729841645935571,1.1592090505140447,1.2391838023174815,1.246930996806541
61,Building_T1-60x30-S3-GS_Variated3_2,0.2561909326671871,0.7383557266118354,1.0978605190698347,1.1673621450326184,1.1698457143809327
62,Building_T1-60x30-S3-GS_Variated3_3,0.26713179248800023,0.7069866250886438,1.0855202131285302,1.1917367821252054,1.193638292085378
63,Building_T1-60x30-S3-GS_Variated3_4,0.24736927591657837,0.6744567253544052,1.0046650143863007,1.0692728784202226,1.0696158777055298
64,Building_T1-60x30-S3-GS_Variated3_5,0.20399071313438452,0.7529425417435787,1.0922903876449317,1.1562078291767943,1.1586576419352281
65,Building_T1-60x30-S3-GS_Variated4_1,0.2505105902831678,0.6468296160737668,1.009550795356576,1.1142148019201223,1.1184558071407724
66,Building_T1-60x30-S3-GS_Variated4_2,0.19252185837272884,0.6119700077852066,0.928749153785883,1.0493355762222043,1.0593311559915075
67,Building_T1-60x30-S3-GS_Variated4_3,0.2505105902831678,0.6992226202232814,1.157389733028611,1.290599180862475,1.3076260623336515
68,Building_T1-60x30-S3-GS_Variated4_4,0.19613202431947008,0.7323388644314093,1.1189884139896011,1.1646021816845658,1.175048355789023
