,Index,NoDamage,Slight,Moderate,Severe,Complete
0,Building_T1-60x30-S2-GS_Existing1,0.28588995545900353,0.7668944528232254,1.1468351388728661,1.2727227435357147,1.2844587207945422
1,Building_T1-60x30-S2-GS_Existing2,0.27633687781866834,0.7162428955913116,1.0835875806256787,1.192410151019531,1.2051683189876614
2,Building_T1-60x30-S2-GS_Existing3,0.1808495240611705,0.514814184081113,0.7720407307057346,0.8071490495459419,0.8083858775156587
3,Building_T1-60x30-S2-GS_Existing4,0.1586599753485186,0.47489241054210324,0.6801541598478377,0.7336132610779511,0.7400095239548513
4,Building_T1-60x30-S2-GS_Existing5,0.17908892697712298,0.5327254469930347,0.8376777699269269,0.9294076009147583,0.9375055355016939
5,Building_T1-60x30-S2-GS_Existing6,0.16301514560961264,0.5011224739799854,0.744905511067774,0.7991396625076939,0.7991232502655048
6,Building_T1-60x30-S2-GS_Existing7,0.20819069655088399,0.6150925222189251,0.9422092424630804,1.0571409942340386,1.0624177929470964
7,Building_T1-60x30-S2-GS_Existing8,0.17127420694317025,0.5069454124214872,0.8121838413328257,0.9233008781427828,0.9381132168441165
8,Building_T1-60x30-S2-GS_Existing9,0.1688812714950095,0.48548859888516815,0.7440182395867058,0.8182824827237638,0.8182732902905152
9,Building_T1-60x30-S2-GS_Existing10,0.14154177399068935,0.4396803066578935,0.6804010575169274,0.7659152148835668,0.7852413618300065
10,Building_T1-60x30-S3-GS_Existing1,0.1629692037047426,0.4825264726268935,0.7354558897680492,0.8277503346768693,0.8277672720311928
11,Building_T1-60x30-S3-GS_Existing2,0.18055177075317724,0.5233272295761042,0.796935445241308,0.867373717403879,0.8811846751618093
12,Building_T1-60x30-S3-GS_Existing3,0.12649185487725623,0.38064732229721604,0.5632922887103975,0.6266192798997892,0.6266053235112621
13,Building_T1-60x30-S3-GS_Existing4,0.13637486739566682,0.4118878548829583,0.6078157129466353,0.6856248830403358,0.6856710609979197
14,Building_T1-60x30-S3-GS_Existing5,0.14629413667721322,0.43906152142748567,0.6288066884256527,0.6652862210126764,0.6652862210126764
15,Building_T1-60x30-S3-GS_Existing6,0.14154177399068935,0.3999722914264021,0.5652151569482489,0.6215174132055388,0.6215174132055385
16,Building_T1-60x30-S3-GS_Existing7,0.13885387394317478,0.4645963500727777,0.7465617420967255,0.8452929093909509,0.86132790985524
17,Building_T1-60x30-S3-GS_Existing8,0.13722866426885189,0.3703808300213385,0.5867584138561609,0.6276423723060633,0.6281219699002687
18,Building_T1-60x30-S3-GS_Existing9,0.13637486739566682,0.40785062676233147,0.6036117556067402,0.658882124493926,0.658882124493926
19,Building_T1-60x30-S3-GS_Existing10,0.14629413667721322,0.43935374172358654,0.6497140361520995,0.6779397029548424,0.6811668561267051
20,Building_T1-100x30-S2-GS_Existing1,0.15837800742753466,0.532192453143163,0.8121184478933989,0.8947156437971905,0.8947764872689825
21,Building_T1-100x30-S2-GS_Existing2,0.2474595330465031,0.6824837435703865,1.0447872302132948,1.1592051908861205,1.1663157893675606
22,Building_T1-100x30-S2-GS_Existing3,0.13315820890701602,0.4451221042952272,0.7170109192805549,0.7755481874565996,0.7755583542616653
23,Building_T1-100x30-S2-GS_Existing4,0.18027245033409361,0.5346451650720481,0.7711306230944887,0.8426732065834085,0.8442875511587308
24,Building_T1-100x30-S2-GS_Existing5,0.15504342446712427,0.48368349146094214,0.7409412630448247,0.808650162687655,0.808650162687655
25,Building_T1-100x30-S2-GS_Existing6,0.2025901501477282,0.620046591702315,0.9994061429546479,1.1377574171718519,1.1488708357606425
26,Building_T1-100x30-S2-GS_Existing7,0.16769389843923582,0.5279133865912492,0.782397533126042,0.8514914245002084,0.8546031085312071
27,Building_T1-100x30-S2-GS_Existing8,0.16769389843923582,0.5087612171206193,0.7521826392804554,0.7861733649820548,0.7914897894316486
28,Building_T1-100x30-S2-GS_Existing9,0.25141063302659605,0.6713404743296582,0.9786188160450138,1.041444623908935,1.0471565575729849
29,Building_T1-100x30-S2-GS_Existing10,0.20898476753056877,0.6250225523343025,0.9457724619759155,0.999591129021073,1.0144674228005812
30,Building_T1-100x30-S3-GS_Existing1,0.13722866426885189,0.360049069667172,0.5686186811068801,0.6314575196244071,0.6314269356863342
31,Building_T1-100x30-S3-GS_Existing2,0.14082181802823518,0.3939298401120894,0.5782781886676185,0.6111829688112591,0.6112132742873522
32,Building_T1-100x30-S3-GS_Existing3,0.15626950148281993,0.41409168047863054,0.5313542912264528,0.5401447487477563,0.5401318026583164
33,Building_T1-100x30-S3-GS_Existing4,0.145006320491723,0.4017689275021913,0.5809929854648888,0.5902309581582184,0.5902149223602213
34,Building_T1-100x30-S3-GS_Existing5,0.09280680426116338,0.370188577181949,0.5735442326381968,0.6074033790984236,0.6074033790984236
35,Building_T1-100x30-S3-GS_Existing6,0.1450854655472246,0.38377209885634966,0.5876920779006165,0.629428856870186,0.6294026623113667
36,Building_T1-100x30-S3-GS_Existing7,0.13161437847245167,0.41409168047863054,0.6259283920492016,0.6367332044879216,0.6367332044879216
37,Building_T1-100x30-S3-GS_Existing8,0.15675350680492406,0.4224901165425292,0.652196596344955,0.6809089721514827,0.6855903010525844
38,Building_T1-100x30-S3-GS_Existing9,0.18027245033409361,0.5214344672372205,0.7780511711739262,0.8161585728991378,0.8174658625492002
39,Building_T1-100x30-S3-GS_Existing10,0.1629592994985387,0.44988590949653284,0.653032316352423,0.6868962507237595,0.6869078430458191
40,Building_T1-60x30-S2-PS_Existing1,0.1311140940227455,0.41981092163359257,0.7157080482890745,0.9373492372996881,0.9943230397342243
41,Building_T1-60x30-S2-PS_Existing2,0.17296889430143544,0.5229630501158832,0.919666071344077,1.2622653461057585,1.420004065764362
42,Building_T1-60x30-S2-PS_Existing3,0.15110686518391594,0.38857461956120976,0.6784356933415938,0.7863329447170846,0.8216416814350755
43,Building_T1-60x30-S2-PS_Existing4,0.1149188280209244,0.38821366044054173,0.6202491704482397,0.7687570465434572,0.7900422251378989
44,Building_T1-60x30-S2-PS_Existing5,0.16828587775680276,0.49297134703065426,0.8302607898732597,1.1203348300389901,1.193552131376493
45,Building_T1-60x30-S2-PS_Existing6,0.1586599753485186,0.47826120851061793,0.8135355936679974,1.0548321503982432,1.1450468187909713
46,Building_T1-60x30-S2-PS_Existing7,0.16301514560961264,0.47828792981049095,0.8275348799391398,1.1217393853959972,1.1975900839537528
47,Building_T1-60x30-S2-PS_Existing8,0.12649185487725623,0.3732449147859185,0.5813937423174904,0.6901515403640035,0.7169391304601036
48,Building_T1-60x30-S2-PS_Existing9,0.17296889430143544,0.511329744817834,0.8890166416915936,1.1690137184612568,1.2852157935941464
