,Index,NoDamage,Slight,Moderate,Severe,Complete
0,Building_T1-60x30-S2-GS_Existing,0.1688812714950095,0.5015744812257479,0.8057770132731192,0.933963140103836,0.9456625361564136
1,Building_T1-60x30-S3-GS_Existing,0.1311140940227455,0.3946375289397695,0.6076847411072491,0.6721364821232113,0.6749296790261536
2,Building_T1-100x30-S2-GS_Existing,0.1586599753485186,0.47481462138802805,0.7474057876445936,0.8395998693393274,0.8463701858971794
3,Building_T1-100x30-S3-GS_Existing,0.14717081013462485,0.37579753801140675,0.5994229929861011,0.6317151666437487,0.6317151666437487
4,Building_T1-60x30-S2-PS_Existing,0.13315820890701602,0.42448281421445344,0.713688930989038,0.9162910895141232,0.9735264889526196
5,Building_T1-60x30-S3-PS_Existing,0.13345997258376108,0.33552452911222175,0.5477897891867848,0.6768376535648591,0.6879131993733429
6,Building_T1-100x30-S2-PS_Existing,0.08879457330454277,0.38000747103657767,0.6689585443029901,0.8467478634403034,0.8758622102797307
7,Building_T1-100x30-S3-PS_Existing,0.1401208767367806,0.3391994632042928,0.5451790096663718,0.655574004986905,0.6652943794831481
8,Building_T2-60x50-S2-GS_Existing,0.16752570746517306,0.4762409164447389,0.7749354562611108,0.8574101006682677,0.869878242960533
9,Building_T2-60x50-S3-GS_Existing,0.09736877997617935,0.38758427703960485,0.6152352344547936,0.6683739853216043,0.6683739853216043
10,Building_T2-100x50-S2-GS_Existing,0.14154177399068935,0.42719139709604925,0.6817330812182446,0.6996732999309755,0.6996816867400073
11,Building_T2-100x50-S3-GS_Existing,0.13722866426885189,0.3429599340402826,0.5034367301357916,0.5305318103926173,0.5305318103926173
12,Building_T2-60x50-S2-PS_Existing,0.105236772855888,0.37306296996577093,0.655145837076473,0.859580498955207,0.9221884159002083
13,Building_T2-60x50-S3-PS_Existing,0.11261533031340461,0.3114776750160182,0.5168970027996664,0.615055699651742,0.639280150694717
14,Building_T2-100x50-S2-PS_Existing,0.1300817897690162,0.33659656865620363,0.5578237976793607,0.7177372965022792,0.7495422747912595
15,Building_T2-100x50-S3-PS_Existing,0.0841571094370881,0.2545499712587687,0.45878568820580257,0.5043354545290973,0.5098347057506444
16,Building_T3-50x30-S2-GS_Existing,0.1776529120997239,0.5205319453377308,0.8863767269598857,1.0819053040153637,1.099565098538434
17,Building_T3-50x30-S3-GS_Existing,0.12535087100437936,0.41738470339483386,0.6897120542482985,0.8022914765747584,0.8187610819607429
18,Building_T3-80x30-S2-GS_Existing,0.19055140214512972,0.5477373750271121,0.8894291998001858,1.0486791044897656,1.0675426542854218
19,Building_T3-80x30-S3-GS_Existing,0.14154177399068935,0.4697751629351566,0.7407839770567632,0.8154825907721497,0.8342890040214841
20,Building_T3-50x30-S2-PS_Existing,0.15780522921239198,0.4726178401403086,0.8140747879180713,1.0604040657814333,1.1617402273725295
21,Building_T3-50x30-S3-PS_Existing,0.12095386570086203,0.38150969881501573,0.6556228461476126,0.8351607646248598,0.8862532011914859
22,Building_T3-80x30-S2-PS_Existing,0.1206413787080319,0.4122381245721963,0.7575358785656343,1.0089201735392768,1.1164226100150363
23,Building_T3-80x30-S3-PS_Existing,0.13722866426885189,0.35848544365483925,0.6190681599188226,0.7869897886139678,0.8648092208048132
24,Building_T4-60x50-S2-GS_Existing,0.2321577647489326,0.6194722867372491,0.926649583679171,1.0181455040987082,1.024260390306056
25,Building_T4-60x50-S3-GS_Existing,0.1764308004619244,0.4963618660514546,0.7433346753753479,0.8014440297930021,0.8015528960095291
26,Building_T4-100x50-S2-GS_Existing,0.20624116145007385,0.5612650046020138,0.8469824693608056,0.9144021140569861,0.9145569555450308
27,Building_T4-100x50-S3-GS_Existing,0.1586599753485186,0.4887845478547691,0.709753786632374,0.7253263257942288,0.7255383332107418
28,Building_T4-60x50-S2-PS_Existing,0.1720524544334537,0.4754284469919309,0.7916861597420343,1.052157124911461,1.1311998277488704
29,Building_T4-60x50-S3-PS_Existing,0.15078347561283748,0.43702223393871087,0.676028738275369,0.807341028804295,0.863882063206143
30,Building_T4-100x50-S2-PS_Existing,0.12709982462656857,0.43372286965713414,0.7349428919475659,0.9636750923895392,1.022575234261264
31,Building_T4-100x50-S3-PS_Existing,0.1450854655472246,0.38134959852969785,0.6139765708193012,0.7735605512749755,0.7964321070691218
32,Building_T1-60x30-S2-GS_Ordinance,0.22024777934560358,0.59340083433741,1.0581445988253688,1.3375260934267992,1.4046271098627885
33,Building_T1-60x30-S3-GS_Ordinance,0.16763684394687828,0.6695476099020858,0.9759637153869203,1.1186128202227366,1.142371533441439
34,Building_T1-100x30-S2-GS_Ordinance,0.1776529120997239,0.5503187327692677,0.9164508105704958,1.0633012764164236,1.0841811068148397
35,Building_T1-100x30-S3-GS_Ordinance,0.16314092570385824,0.5619251161858873,0.816325632902347,0.9403632709913229,0.9636746660427712
36,Building_T1-60x30-S2-PS_Ordinance,0.17296889430143544,0.5372709872677617,1.0233403447075435,1.4343518471821475,1.7573925913122506
37,Building_T1-60x30-S3-PS_Ordinance,0.14812349101465788,0.5342211207384907,0.8524457799575424,1.1742447953211603,1.3033719332022793
38,Building_T1-100x30-S2-PS_Ordinance,0.1367336747811299,0.5075917952425152,0.8237318227567795,1.1419819973907606,1.242048145416975
39,Building_T1-100x30-S3-PS_Ordinance,0.1629592994985387,0.4669817184964983,0.723572967901368,1.0394678619680602,1.1363058812568152
40,Building_T2-60x50-S2-GS_Ordinance,0.18674723960137474,0.5925280052559353,0.9645235383092261,1.2307008161221562,1.323035055868755
