,0,1,2
0,24689.934721259797,5673.754004034332,6528.650800271692
1,41733.70339790988,9606.01933124463,10070.003332422879
2,39935.12704991199,10653.871406507868,11386.173678485615
3,136841.34542327563,39685.08324443435,46224.7558197988
4,126018.78253753441,38192.74743852201,37737.17398846421
5,494698.65293003025,155483.0420459979,164169.10640959936
6,317205.5490879034,94878.45594140573,99334.37736198887
7,652928.9274499052,213299.04235939484,235988.50121531973
8,121651895.47260812,58080938.973113805,61257230.001005694
9,189361575.105878,101351030.38829318,106567030.50513822
10,148703272.62428418,73686433.7705908,76960412.50533116
11,218596135.8343702,109680695.75546682,116162867.19774866
12,212635645.98623246,105709236.02103053,111216843.03811489
13,279451129.5953001,142190200.75412393,150460390.19240093
14,265552188.20080933,133994800.99401268,141584188.20943326
15,445138084.3335708,241139547.79337633,253344952.11972106
16,238924706.64731485,120897047.01467916,127878895.86143748
17,350080285.0454959,182615777.85091847,191871029.24876392
18,347590634.0626974,189628866.42474464,199418288.33106944
19,341746156.6208414,177416995.44278482,186710253.14407423
20,424379686.8967401,233795588.61857614,245449872.69794017
21,472307725.2489727,263006846.06354982,276560869.85914034
22,739382151.2020404,431084376.41224307,452258740.41629857
23,559631488.5150322,316347670.82889974,331592563.2276533
24,697733378.4449707,399719635.83141565,418456569.7327541
25,670087958.0347217,376335213.0551301,394707382.8934341
26,857735821.1382513,492762760.6935139,515540009.6426133
27,893612414.907321,506869349.73412824,532355350.83468056
28,904078406.2283041,514810266.86271787,539361774.7618016
29,504301246.6255716,282301764.0154446,295742542.87369144
30,518348921.15498716,277030798.14153594,290882370.23798347
31,685511653.5930654,392661353.9637002,411488527.12671375
32,676065562.3983116,375203714.84369314,393763738.8888821
33,683828432.5596185,375956972.43341136,395211325.0680745
34,1089814793.1398253,645754306.9235156,676633072.8318489
35,16588902.073994868,6720160.363091317,7138660.579537667
36,17235409.936760467,6880949.38113277,7429956.40217361
37,34543332.063917376,16648562.841713328,17742346.00191222
38,31669523.009115785,13429699.794686185,14248107.501493901
39,78434631.55030037,39541564.4849077,42155873.29572701
40,76843662.01503806,35506621.165173896,37768384.68799907
41,20260307.14581533,8293410.4640877955,8794435.565376708
42,33948381.78276134,14854525.065628164,16030311.390425675
43,93840407.13776228,56066306.065236576,58328817.28471973
44,50394426.82170312,22265880.395057447,23537704.439529613
45,52994715.41836925,23050254.068812475,24376560.425989486
46,62110741.525597125,28349046.3133588,29863560.83847116
47,61948686.84388447,27463795.954543587,29107604.882242426
48,57207581.872998275,25696867.99308836,26943359.202142827
49,70585946.55442177,31516813.96152602,33110731.973303214
50,73462232.77168158,33396313.86717166,35245571.16755427
51,123462799.64208278,59570585.51500724,62931542.21108082
52,127708224.38232699,64126649.98001727,68014230.67907362
53,107368316.77089147,50468194.610118,53245292.02866554
54,186326196.3138277,92457173.97507429,97166290.65431388
55,137876021.18332484,67664552.37738642,71673490.18031327
56,230606789.3935368,118124505.35260512,123479246.14303091
57,243893645.38533878,125820336.45483726,131536858.40357074
58,248363966.22135076,121455631.63189602,128027259.47524987
59,283692695.79737985,141959169.44289708,149564614.1980208
60,462901117.02847666,257268324.53585565,269255082.1304384
61,240214831.10100603,122916143.82178901,128992995.7938351
62,229014089.2135682,115311494.50343108,121161344.18427268
63,236451966.76900107,121511862.81015997,128257581.36460039
64,219923107.52103257,109478406.41377649,115303140.48459269
65,411869592.6218902,231608397.66746876,242635803.46848583
66,343254631.29771376,181039522.39272678,190547843.00394756
67,1658650762.6508248,1038646883.4743903,1088001966.4690452
68,1873715497.7726908,1206253024.7945402,1259056400.9523091
69,1779727126.9904857,1129285032.2769294,1179742421.9776535
70,1977996469.9030237,1268436856.2255945,1325778698.24693
71,2099347668.3553262,1346637278.3318596,1405690420.777528
72,2221789016.362712,1462825395.0531933,1525338539.270158
73,2293415529.226775,1521355642.8959439,1582728406.8581834
74,1846416861.6951208,1176044230.3903215,1227964321.0836253
75,2046225140.5910504,1302026919.78713,1357479439.1196415
76,1664823612.2315116,1025110850.5566356,1075796233.8899894
77,1856446404.893979,1160481714.9508731,1213983321.2780404
78,2175490224.5565453,1397205967.7767286,1459985807.135373
79,2678418678.703252,1788120131.3882818,1858599288.5232766
80,2227346699.0976553,1407351988.5994463,1470118724.374842
81,2126017894.6944556,1352383807.611536,1414361418.8465314
82,2055339413.481568,1308430259.59545,1366353166.459561
83,2412592155.478219,1564228562.1112432,1632383624.7673733
84,2324641152.373848,1481753672.3381143,1546336799.098194
85,2658126349.2565336,1780824120.1064377,1851272790.1275988
86,2690957843.130378,1764735434.0672033,1838117919.7038937
87,2230908645.581767,1437634301.3050494,1499092944.8926034
88,2623983980.4211783,1726179490.0338054,1795495449.4188097
89,2640201769.456378,1720207610.007773,1794138178.9108644
90,3000481023.918004,2047812620.0133908,2124229868.771309
91,3395338087.3243494,2351019099.7036066,2437809003.0117717
92,2746522144.7138476,1798429831.0284662,1873681629.6815128
93,3481990564.1552043,2362316452.6449213,2454121166.8131456
94,2702417524.285837,1783007422.5135472,1858091903.9643383
95,2819094218.9026327,1881027457.7878394,1957607853.8006055
96,2852018090.9002876,1921736586.0721457,1998377067.914483
97,3023645735.038465,2046982097.202774,2127890036.0111783
98,2994516587.9503155,1983123977.8260283,2063024816.2002335
99,3610903733.5371075,2491626083.962305,2585156565.1624174
100,17362216.51370712,6975587.825000505,7456087.2090274375
101,11478580.230088953,4237992.508262331,4547928.020856507
102,21191001.075457647,8261909.171881936,8869808.731154205
103,32464162.171831958,13781325.108342413,14653698.29879063
104,29348437.423197635,13053117.271670023,13687877.975847716
105,36888159.47924617,15437642.481777972,16521143.23066276
106,44686244.956364885,19211234.723055735,20661800.313957836
107,228804062.10401332,117994827.31289288,124392663.68772358
108,281847599.4123933,146920781.92034778,155439912.608365
109,272233646.8601802,144294553.8624006,151566490.63925898
110,398867064.46712476,216976435.08695233,227649258.9464996
111,434882842.9790164,234592691.3328922,246672950.50589105
112,411248717.4420371,223626920.09003586,234890772.76747367
113,167684.82204050932,46327.05144956382,49206.42048086777
114,85536.88602394043,21174.830599863286,23417.152935150938
115,64431.60844522179,15438.555506732553,17168.440027374574
116,826879.0529535146,266059.08776229166,278861.2118790473
117,124976.8552473023,31838.69312286283,33309.32057387921
118,139753.98212092253,36126.40766589521,38700.56949214787
119,400827.6468150357,113413.53386013956,123975.57659681051
120,965759.0829994606,299066.0529802076,316733.54987169383
121,34993299.77709691,15479079.208605932,16619800.54761947
122,29471923.487122647,12437900.97153182,13210847.98218112
123,49688652.43579343,21377780.745578013,22659046.492010854
124,40088206.0781817,16731751.935642753,17950874.55252658
125,46971406.19841786,20777788.400795646,22180061.809755035
126,44660198.09799154,18568924.48860181,19688704.53744094
127,304620421.8859991,154877987.16071755,163960187.52027288
128,357222866.80360866,194021604.40917915,203828624.96843794
129,395993189.3737452,215640605.17012173,226996346.5833802
130,430042613.15129626,230898392.41218102,242275208.92503616
131,533845714.4416717,296081028.1389922,310246004.7091737
132,448639666.9586307,249884144.58647305,262491564.5983028
133,102602124.06032637,48520638.25707334,51168490.19209148
134,191490761.56642324,98563224.68696839,103951994.15735444
135,173731187.83225697,89371821.1428709,94105725.43325716
136,247733144.5394804,128689693.5220423,135214410.90818572
137,290587507.4964155,155264560.72339916,162708118.0581353
138,278194989.2258848,143767412.77363345,151447273.4015806
139,333876212.79591393,174359430.54924083,183696475.22721082
140,156887329.83355108,78839194.29241124,82618156.9617369
141,143657162.56369552,68028352.19473386,71701818.4812411
142,134718483.70777494,64028140.77651707,67691647.65149575
143,107893181.64767838,49785128.78291847,52627217.952909365
144,174723215.78918675,87110437.94172984,91619642.24057522
145,137541425.18431354,64557968.32427787,68854007.38184573
146,244677883.4584455,130426092.48493439,136981725.92001766
147,255471948.7929855,128248755.2431145,135191321.076429
148,519982152.9272618,292046693.0927078,305905260.601
149,477827123.727196,263279649.84674078,276925131.7473051
150,502901435.6507103,266378854.5602852,280698914.6766539
151,509427351.8442861,274888861.80115414,289851078.3390283
152,728008921.4294343,421340218.4937829,442330238.4013176
153,716180664.9480829,408621263.1273213,429248534.3127877
154,826117258.5987947,469009785.7179447,492892022.9075742
