NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,X Diff,Z Diff,Xpeakstrength,Zpeakstrength
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.045497657,3.689002556
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.29566043,4.313034668
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.288062955,4.349013073
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,1.877071829,3.702465438
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.505237926,4.442161521
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.330274076,4.380350666
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,1.786323496,3.624036831
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.243499098,3.947313927
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.561400185,4.568146101
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.337789299,4.307030661
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.259865667,4.201555559
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,1.693455145,3.404463968
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.065145524,4.069524064
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.142592874,4.144136003
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,1.724408127,3.499957711
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.180150423,3.904830022
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.086745138,3.782319751
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,1.751459477,3.198859189
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.39361909,3.904779697
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.174125252,3.904770167
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.403702263,4.229113874
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.221489543,4.173001929
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.174577303,4.169365411
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,1.791356343,3.810077533
2,240.232,1800,720,360,4033.5,3642.25,0.042,10.69575,52.9565446,30.0536013,2.146759023,3.780425889
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.169241724,3.812780267
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.522341801,4.294703729
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.39122911,4.2700174
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.691425804,3.569244275
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.106602365,3.653591872
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.346828554,4.146533328
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.774323206,3.379514711
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.347499122,4.176348831
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.931697504,3.588455118
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.99819346,3.884056889
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.706395287,3.404194396
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.793811216,3.725313921
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.2513518,4.175587987
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.747578559,3.272881074
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.663105452,3.103628981
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.178987373,4.068023666
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.677707743,3.178954465
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.207875529,3.9147969
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.369771197,4.381970429
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.665040227,3.247892283
