Latitude,Longitude,Story,Type,SMS
34.07174,-118.31164,,,2.422
34.07161,-118.31164,,,2.421
34.06899,-118.31164,,,2.395
34.08974,-118.31166,,,2.417
34.07656,-118.31167,3,,2.468
34.09007,-118.31169,,,2.415
34.08062,-118.31169,,,2.479
34.00344,-118.31169,,,1.929
34.07323,-118.3117,3,FWL4,2.436
34.07479,-118.31171,2,,2.451
34.09348,-118.31176,,,2.44
34.09307,-118.31176,,,2.437
34.0604,-118.31177,,,2.311
34.10446,-118.3118,,,2.639
34.10384,-118.3118,,,2.619
34.10318,-118.3118,,,2.597
34.1026,-118.3118,,,2.577
34.10419,-118.31181,,,2.63
34.10247,-118.31181,,,2.573
34.10356,-118.31183,,,2.609
34.10339,-118.31183,,,2.604
34.07657,-118.31183,3,FWL3,2.468
34.10467,-118.31187,,,2.646
34.07999,-118.31187,,,2.48
34.05395,-118.31187,,,2.247
34.05856,-118.31189,,,2.292
34.09308,-118.31193,,,2.435
34.09897,-118.31194,,,2.48
34.06665,-118.31196,,,2.372
34.06575,-118.31196,,,2.363
34.06483,-118.31196,,,2.354
34.04336,-118.31196,,,2.169
34.0892,-118.31197,,,2.416
34.0604,-118.31197,,,2.31
34.06656,-118.31198,,,2.371
34.06605,-118.31198,,,2.366
34.06516,-118.31198,2,FWL1,2.357
34.04637,-118.31198,,,2.186
34.04376,-118.31198,,,2.171
34.04209,-118.31199,,,2.161
34.06698,-118.312,2,,2.375
34.04271,-118.312,,,2.165
34.04418,-118.31201,,,2.174
34.04397,-118.31201,,,2.172
34.04162,-118.31201,2,FWL4,2.159
34.07758,-118.31202,,,2.477
34.04555,-118.31202,3,FWL4,2.181
34.04223,-118.31202,,,2.162
34.04193,-118.31202,3,FWL4,2.16
34.08694,-118.31204,,,2.43
34.09249,-118.31208,,,2.428
34.07961,-118.3121,,,2.48
34.09897,-118.31211,,,2.478
34.07203,-118.31213,,,2.423
34.0466,-118.31215,,,2.187
34.05475,-118.31216,,,2.254
34.05999,-118.31217,2,,2.306
34.07652,-118.31219,2,,2.466
33.97485,-118.31222,2,,1.822
34.07931,-118.31231,,,2.478
34.07648,-118.31231,2,,2.466
34.09204,-118.31233,,,2.42
34.07859,-118.31234,3,,2.484
34.0604,-118.31237,,,2.309
34.08785,-118.31238,2,,2.418
34.09658,-118.31239,2,,2.455
34.25865,-118.31241,,,2.633
34.09249,-118.31241,,,2.423
34.09897,-118.31244,,,2.474
34.06809,-118.31246,,,2.384
34.0685,-118.31247,,,2.388
34.0576,-118.31247,,,2.282
34.07656,-118.31249,2,,2.466
34.05602,-118.31249,,,2.266
34.05481,-118.31249,,,2.254
34.07859,-118.3125,2,,2.481
34.06549,-118.3125,2,FWL1,2.359
34.05878,-118.3125,,,2.293
34.07999,-118.31251,,,2.47
34.07905,-118.31254,,,2.477
34.0604,-118.31256,,,2.309
34.09205,-118.31257,,,2.417
34.04403,-118.31259,,,2.171
34.09896,-118.3126,,,2.471
34.04417,-118.3126,,,2.172
34.04222,-118.3126,,,2.161
34.04636,-118.31261,,,2.185
34.04616,-118.31261,,,2.184
34.04593,-118.31261,,,2.182
34.04377,-118.31262,,,2.17
34.04198,-118.31265,,,2.16
34.0806,-118.31268,,,2.463
34.04659,-118.31269,,,2.186
34.10367,-118.31274,,,2.608
34.07287,-118.31276,,,2.43
34.0604,-118.31276,,,2.308
34.10342,-118.31277,,,2.599
34.08433,-118.31277,,,2.436
34.08413,-118.31277,,,2.437
34.04393,-118.31277,,,2.171
34.07998,-118.31284,,,2.465
34.07899,-118.31286,,,2.472
34.10083,-118.31287,3,,2.506
34.08732,-118.31287,2,,2.414
34.09348,-118.31289,,,2.423
34.05383,-118.31289,,,2.243
34.05367,-118.31289,,,2.242
34.05827,-118.3129,2,,2.287
34.05751,-118.3129,,,2.28
34.05428,-118.3129,,,2.248
34.0572,-118.31291,,,2.277
34.05687,-118.31291,,,2.273
34.05705,-118.31292,,,2.275
34.05999,-118.31295,2,,2.304
34.25865,-118.31299,,,2.632
34.07656,-118.31299,3,FWL3,2.464
34.04492,-118.31301,,,2.176
34.04464,-118.31301,,,2.174
34.10563,-118.31303,2,,2.677
34.10563,-118.31303,2,,2.677
34.06517,-118.31312,2,,2.354
34.09303,-118.31314,,,2.416
34.06878,-118.31315,2,FWL4,2.389
34.06824,-118.31315,,,2.384
34.07695,-118.31316,,,2.467
34.06561,-118.31316,,,2.358
34.06419,-118.31316,,,2.344
34.06371,-118.31316,,,2.34
34.07961,-118.31318,,,2.462
34.06784,-118.31318,,,2.38
34.04537,-118.31318,3,FWL4,2.178
34.07899,-118.31319,,,2.467
34.06645,-118.31319,,,2.366
34.05401,-118.31319,,,2.244
34.0661,-118.3132,,,2.363
34.06548,-118.3132,3,FWL3,2.357
34.02579,-118.3132,,,2.064
34.09408,-118.31323,,,2.423
34.09476,-118.31324,2,,2.428
34.07859,-118.31324,3,,2.469
34.09281,-118.31325,,,2.412
34.25863,-118.31326,,,2.632
34.08198,-118.31326,,,2.444
34.04549,-118.31327,,,2.179
34.10426,-118.31328,,,2.626
34.10369,-118.3133,,,2.605
34.10355,-118.3133,,,2.6
34.10383,-118.31331,,,2.61
34.10498,-118.31332,,,2.653
34.10117,-118.31336,,,2.512
34.08722,-118.31337,,,2.407
34.25834,-118.31341,,,2.63
34.25855,-118.31342,,,2.631
34.0428,-118.31344,,,2.163
34.04157,-118.31344,2,FWL4,2.156
34.04106,-118.31344,,,2.153
34.04045,-118.31344,,,2.149
34.01118,-118.31344,,,1.978
34.04468,-118.31345,,,2.174
34.04438,-118.31346,,,2.172
34.05702,-118.31348,,,2.273
34.04274,-118.31348,,,2.162
34.05603,-118.31351,,,2.264
34.05427,-118.31351,,,2.246
34.05786,-118.31352,3,,2.282
34.05498,-118.31352,,,2.253
34.05753,-118.31353,,,2.278
34.10248,-118.31368,,,2.558
34.06617,-118.31369,,,2.362
34.07869,-118.31371,,,2.46
34.07914,-118.31372,,,2.457
34.0677,-118.31372,,,2.377
34.06699,-118.31372,2,FWL3,2.37
34.06685,-118.31372,,,2.369
34.0663,-118.31372,,,2.363
34.09255,-118.31375,,,2.403
34.06366,-118.31375,2,FWL3,2.338
34.07967,-118.3138,,,2.451
34.10083,-118.31381,,,2.495
34.09405,-118.31384,,,2.414
34.05877,-118.31391,,,2.29
34.07608,-118.31392,3,FWL3,2.457
34.05547,-118.31392,,,2.257
34.05786,-118.31393,2,,2.281
34.05687,-118.31393,,,2.271
34.05671,-118.31393,,,2.269
34.06044,-118.31394,,,2.306
34.10457,-118.31395,,,2.635
34.10344,-118.31396,,,2.592
34.1028,-118.31396,,,2.568
34.10241,-118.31396,,,2.553
34.09964,-118.31397,,,2.458
34.10297,-118.31398,,,2.574
34.08001,-118.31398,,,2.446
34.04373,-118.31404,,,2.167
34.07969,-118.31405,,,2.447
34.09249,-118.31407,,,2.397
34.09406,-118.31408,,,2.41
34.08193,-118.31408,2,,2.431
34.04396,-118.31408,,,2.168
34.0653,-118.31409,,,2.353
34.04596,-118.31409,,,2.18
34.04417,-118.31409,,,2.169
34.10082,-118.31414,3,,2.49
34.03415,-118.31416,2,FWL4,2.112
34.04442,-118.31421,,,2.171
34.09348,-118.31424,,,2.403
34.09306,-118.31424,,,2.399
34.09405,-118.31425,,,2.407
34.05391,-118.31425,,,2.241
34.05386,-118.31429,,,2.24
34.08697,-118.31431,,,2.393
34.10281,-118.3144,,,2.565
34.09249,-118.3144,,,2.392
34.0659,-118.3144,,,2.358
34.09347,-118.31441,,,2.4
34.06348,-118.31441,,,2.334
34.06259,-118.31442,,,2.326
34.10491,-118.31443,,,2.647
34.06427,-118.31443,,,2.342
34.03178,-118.31444,2,,2.097
34.04574,-118.31449,,,2.177
34.08274,-118.31455,,,2.418
34.09207,-118.31456,,,2.386
34.05621,-118.31461,,,2.263
34.05603,-118.31461,,,2.261
34.0577,-118.31462,,,2.277
34.0915,-118.31465,,,2.38
34.05368,-118.31467,,,2.238
34.08192,-118.3147,2,,2.421
34.10459,-118.31471,,,2.633
34.06357,-118.31472,2,,2.334
34.09249,-118.31473,,,2.387
34.09207,-118.31473,,,2.383
34.06751,-118.31483,,,2.372
34.08232,-118.31486,,,2.416
34.09161,-118.31492,,,2.377
34.09205,-118.31497,,,2.38
34.10433,-118.31506,,,2.621
34.10373,-118.31507,,,2.597
34.09405,-118.31507,,,2.395
34.09306,-118.31507,,,2.387
34.10455,-118.31508,,,2.63
34.09153,-118.31508,,,2.373
34.10062,-118.31515,2,,2.47
34.08192,-118.31519,2,,2.413
34.09348,-118.31523,,,2.388
34.09306,-118.31523,,,2.384
34.09248,-118.31523,,,2.379
34.09161,-118.31525,,,2.371
34.07583,-118.31531,,,2.45
34.09306,-118.3154,,,2.382
34.08547,-118.3154,,,2.386
34.09377,-118.31543,,,2.387
34.07652,-118.31548,,,2.448
34.03057,-118.3155,2,,2.089
34.1049,-118.31581,,,2.642
34.03459,-118.31582,3,FWL4,2.111
34.0315,-118.31583,2,FWL4,2.093
34.03201,-118.31587,2,,2.096
34.09203,-118.31592,,,2.365
34.09149,-118.31592,,,2.36
34.09149,-118.31608,,,2.357
34.03869,-118.31608,2,FWL4,2.134
34.04596,-118.31609,,,2.175
34.0458,-118.31609,,,2.175
34.04507,-118.31609,,,2.17
34.10419,-118.3161,,,2.611
34.04443,-118.3161,,,2.167
34.10473,-118.31613,,,2.634
34.09962,-118.31623,,,2.427
34.09208,-118.31625,,,2.36
34.04269,-118.3164,,,2.156
34.03459,-118.3164,2,FWL4,2.11
34.0378,-118.31654,2,FWL4,2.128
34.0673,-118.31655,2,FWL3,2.365
34.0915,-118.31658,,,2.35
34.03235,-118.31658,2,,2.097
34.0475,-118.31667,,,2.183
34.07624,-118.31672,3,FWL3,2.429
34.09248,-118.31674,,,2.356
34.0407,-118.31674,,,2.144
34.09306,-118.31675,,,2.361
34.04131,-118.31676,,,2.148
34.04111,-118.31676,,,2.147
34.07876,-118.31678,3,,2.409
34.04197,-118.31679,,,2.152
34.03236,-118.31683,2,FWL4,2.097
34.09306,-118.31691,,,2.359
34.09248,-118.31691,,,2.353
34.10081,-118.31696,3,,2.457
34.03236,-118.31701,2,FWL1,2.096
34.09963,-118.31707,,,2.416
34.0915,-118.31707,,,2.342
34.09895,-118.31712,,,2.409
34.10081,-118.31713,2,,2.455
34.10013,-118.31713,3,,2.424
34.06006,-118.31713,2,,2.294
34.09276,-118.31719,,,2.352
34.10455,-118.31723,2,,2.622
34.09204,-118.31723,,,2.344
34.1039,-118.31724,2,,2.593
34.06792,-118.31728,,,2.369
34.04254,-118.3173,2,FWL1,2.154
34.0357,-118.31736,2,FWL4,2.115
34.09207,-118.3174,,,2.342
34.09823,-118.31743,,,2.398
34.03921,-118.31748,3,FWL4,2.135
34.01852,-118.31748,,,2.016
34.0925,-118.31749,,,2.345
34.03239,-118.3175,,,2.096
33.98015,-118.31756,,,1.838
34.10482,-118.31757,2,,2.633
34.09207,-118.31757,,,2.339
34.09302,-118.31758,,,2.348
34.06849,-118.31762,,,2.374
34.06554,-118.31762,2,FWL3,2.346
34.10087,-118.31763,2,,2.452
34.10621,-118.31768,2,,2.671
34.09896,-118.31778,2,FWL3,2.4
34.10225,-118.31781,3,,2.514
33.9807,-118.31797,,,1.839
33.97835,-118.31799,2,FWL3,1.831
34.04482,-118.31803,2,,2.165
34.03843,-118.31805,2,,2.129
34.04503,-118.31807,2,FWL1,2.166
34.04449,-118.31807,,,2.163
34.03891,-118.31807,2,,2.132
34.04307,-118.31808,2,,2.155
34.04294,-118.31808,2,,2.154
34.0428,-118.31808,2,FWL4,2.154
34.04588,-118.31809,2,FWL3,2.171
34.0456,-118.31809,2,FWL4,2.169
34.05898,-118.31813,,,2.281
34.10374,-118.3182,2,,2.581
34.09638,-118.31829,2,,2.369
34.09539,-118.3183,2,,2.359
34.09518,-118.3183,2,,2.357
34.10637,-118.31833,2,,2.669
34.03456,-118.31835,2,FWL4,2.107
34.26071,-118.31836,2,,2.641
34.10046,-118.31847,2,,2.423
34.03812,-118.31854,2,FWL4,2.126
34.04642,-118.31855,2,FWL4,2.173
34.09974,-118.31856,2,,2.397
34.04392,-118.31856,2,,2.159
34.03732,-118.3186,3,,2.122
34.03301,-118.3186,3,,2.097
34.10767,-118.31862,3,,2.669
34.0442,-118.31862,2,,2.16
34.03457,-118.31869,,,2.106
34.09329,-118.31872,,,2.333
34.09301,-118.31872,,,2.33
34.09623,-118.31873,,,2.361
34.09498,-118.31873,,,2.349
34.09398,-118.31873,,,2.34
34.09734,-118.31874,,,2.372
34.04956,-118.31874,2,FWL4,2.19
34.0942,-118.31876,,,2.341
34.10077,-118.31879,2,,2.434
34.10013,-118.3188,3,,2.402
34.09639,-118.31884,,,2.361
34.05756,-118.31885,,,2.266
34.10619,-118.31886,,,2.666
34.05082,-118.31886,3,,2.2
33.97482,-118.31888,2,,1.818
34.04495,-118.31889,,,2.164
34.01024,-118.31897,,FWL3,1.933
34.02927,-118.31902,,,2.076
34.05633,-118.31904,,,2.253
34.10017,-118.31912,,,2.4
34.0509,-118.31917,3,,2.2
34.1034,-118.3192,,,2.558
34.04641,-118.31921,2,,2.172
34.10768,-118.31924,,,2.666
34.04602,-118.31925,2,FWL4,2.169
34.04502,-118.31925,2,,2.164
34.04574,-118.31926,2,,2.168
34.10021,-118.31927,2,,2.4
34.04419,-118.31927,2,,2.159
34.10073,-118.31928,3,,2.426
34.04009,-118.31928,,,2.136
34.11717,-118.31932,,,2.674
34.09517,-118.31934,,,2.342
34.09342,-118.31935,,,2.325
34.09329,-118.31935,,,2.324
34.09315,-118.31935,,,2.322
34.09188,-118.31935,,,2.31
34.09188,-118.31935,,,2.31
34.09707,-118.31936,,,2.36
34.0947,-118.31936,,,2.337
34.0939,-118.31936,,,2.329
34.09301,-118.31936,,,2.321
34.10074,-118.31944,2,,2.424
34.10463,-118.31955,,,2.618
34.10496,-118.31956,2,,2.634
34.10628,-118.31959,,,2.663
34.106,-118.31959,,,2.663
34.10767,-118.31962,3,,2.664
33.9998,-118.31962,2,FWL3,1.906
34.03325,-118.3197,2,FWL1,2.097
34.03869,-118.31974,2,FWL1,2.127
34.04475,-118.31975,2,,2.161
34.04294,-118.31976,3,,2.151
34.04105,-118.31976,2,FWL4,2.141
34.04279,-118.31977,3,,2.15
34.09356,-118.31978,,,2.32
34.09301,-118.31978,,,2.314
34.09637,-118.31979,,,2.347
34.09511,-118.31979,,,2.335
34.10767,-118.3198,3,,2.664
34.10019,-118.31981,3,,2.392
34.09538,-118.31983,,,2.337
34.09524,-118.31983,,,2.335
34.10431,-118.3199,,,2.6
34.09994,-118.31991,,,2.381
34.10495,-118.31999,2,,2.632
33.99987,-118.31999,2,FWL1,1.906
34.10767,-118.32,3,,2.663
34.10652,-118.32006,3,,2.662
34.10668,-118.32007,3,,2.662
34.10685,-118.32012,2,,2.662
34.06051,-118.32016,3,,2.291
34.03298,-118.3203,3,FWL4,2.094
34.03446,-118.32037,2,,2.103
34.03568,-118.32038,2,FWL1,2.109
34.09273,-118.32041,,,2.305
34.04238,-118.32041,2,,2.147
34.093,-118.32042,,,2.308
34.04433,-118.32042,2,FWL1,2.158
34.03426,-118.3205,2,FWL1,2.101
34.05414,-118.32053,,,2.229
34.10073,-118.32055,3,,2.421
34.05134,-118.3206,,,2.202
34.03298,-118.32061,3,FWL4,2.094
34.10477,-118.32062,2,,2.625
34.05475,-118.32064,,,2.234
34.10046,-118.32065,3,,2.408
34.04818,-118.32065,2,FWL3,2.178
34.05812,-118.32068,3,,2.267
34.05299,-118.32072,,,2.217
34.11396,-118.32077,2,,2.665
34.10695,-118.32079,2,,2.659
34.10682,-118.32079,2,,2.659
34.10669,-118.3208,3,,2.659
34.0941,-118.32086,2,FWL3,2.318
34.09341,-118.32086,2,FWL1,2.31
34.09201,-118.32086,2,,2.293
34.03739,-118.32086,2,,2.118
34.09136,-118.3209,2,,2.285
34.05246,-118.32094,,,2.212
34.11001,-118.32095,2,,2.661
34.10959,-118.32095,2,FWL1,2.66
34.10945,-118.32095,3,,2.66
34.11099,-118.32096,,,2.661
34.11044,-118.32096,3,FWL3,2.661
34.10987,-118.32096,2,FWL1,2.66
34.11147,-118.32097,3,,2.662
34.05905,-118.32097,3,,2.275
34.05868,-118.32097,2,,2.271
34.1085,-118.32099,3,,2.659
34.10973,-118.321,2,FWL1,2.66
34.09273,-118.32101,3,,2.301
34.11889,-118.32103,2,FWL1,2.668
34.11199,-118.32104,3,,2.662
34.05889,-118.32106,2,,2.273
34.05973,-118.32107,,,2.281
34.10072,-118.3211,3,,2.424
34.11319,-118.32111,2,FWL3,2.663
34.05208,-118.32113,,,2.208
34.11533,-118.32114,2,,2.664
34.10835,-118.32116,3,FWL3,2.658
34.05428,-118.32117,,,2.229
34.11676,-118.32119,3,FWL3,2.665
34.05195,-118.32119,,,2.206
34.11691,-118.32123,3,FWL3,2.665
34.11507,-118.32123,2,FWL1,2.664
34.1166,-118.32124,3,FWL3,2.665
34.1163,-118.32124,,FWL3,2.665
34.11576,-118.32127,2,FWL3,2.664
34.10727,-118.32129,3,FWL3,2.657
34.10712,-118.32129,3,,2.657
34.10685,-118.32129,2,,2.657
34.09144,-118.32129,2,,2.282
34.11759,-118.32131,2,,2.665
34.11718,-118.32133,2,,2.665
34.11343,-118.32133,3,,2.662
34.11184,-118.32141,3,,2.66
34.10999,-118.3215,2,,2.658
34.09201,-118.3215,2,,2.287
34.09173,-118.3215,2,FWL3,2.284
34.11813,-118.32151,3,,2.665
34.09327,-118.32151,2,,2.304
34.09188,-118.32152,2,FWL1,2.286
34.11893,-118.32153,2,,2.665
34.10072,-118.32153,2,,2.427
34.09244,-118.32154,,,2.293
34.10019,-118.32157,2,,2.401
34.05651,-118.32159,2,,2.249
34.10581,-118.32164,3,,2.654
34.04125,-118.32166,2,FWL3,2.138
34.11502,-118.32167,2,FWL3,2.662
34.04097,-118.32167,2,,2.137
34.11275,-118.32171,,,2.659
34.11444,-118.32172,3,,2.661
34.11686,-118.32176,,,2.663
34.11409,-118.32178,3,,2.66
34.11396,-118.32178,3,,2.66
34.11645,-118.3218,3,,2.662
34.11341,-118.3218,3,FWL3,2.66
34.11424,-118.32181,,FWL1,2.66
34.11382,-118.32181,3,FWL1,2.66
34.10526,-118.32181,3,,2.653
34.11843,-118.32183,3,,2.663
34.11465,-118.32184,3,,2.66
34.05248,-118.32185,,,2.21
34.11055,-118.32186,3,,2.657
34.11871,-118.32187,,,2.664
34.11183,-118.32187,3,FWL1,2.658
34.04788,-118.32189,2,,2.174
34.10494,-118.32192,2,,2.638
34.10828,-118.32193,2,,2.655
34.03784,-118.32194,2,FWL4,2.119
34.09236,-118.32197,,,2.288
34.10953,-118.32199,2,FWL3,2.656
34.08281,-118.32201,2,,2.299
34.05223,-118.32201,,,2.207
34.10626,-118.32202,3,FWL3,2.653
34.10849,-118.32204,3,FWL3,2.655
34.10712,-118.32204,,,2.654
34.04725,-118.32204,,,2.17
34.05793,-118.32206,,,2.261
34.10797,-118.32207,2,,2.654
34.05316,-118.32207,2,,2.216
34.00383,-118.32208,,,1.927
34.09276,-118.32209,,,2.293
34.05029,-118.32209,,,2.188
34.04166,-118.32213,2,FWL4,2.139
34.11313,-118.32214,,,2.658
34.04112,-118.32214,2,,2.136
34.11922,-118.32218,,,2.662
34.06104,-118.32221,,,2.291
34.00029,-118.32224,2,,1.907
34.11544,-118.32228,,,2.659
34.11127,-118.32229,,,2.656
34.05661,-118.32229,2,,2.248
34.03106,-118.3224,,,2.08
34.03106,-118.32243,,,2.08
34.05812,-118.32248,,,2.262
34.08466,-118.32259,2,,2.28
34.10721,-118.32261,3,,2.651
34.09423,-118.32261,2,,2.311
34.10613,-118.32263,3,,2.65
34.10667,-118.32264,2,,2.651
34.09465,-118.32266,,,2.318
34.10938,-118.32268,,,2.653
34.10642,-118.32275,,,2.65
34.08686,-118.32276,,,2.264
34.08595,-118.32276,,,2.269
34.08777,-118.32277,2,,2.258
33.99985,-118.32278,2,FWL3,1.904
34.08595,-118.32293,,,2.267
34.0901,-118.32294,2,,2.244
34.05949,-118.32301,,,2.274
34.04826,-118.32301,,,2.174
34.04826,-118.32301,,,2.174
34.05023,-118.32302,,,2.186
34.04563,-118.32306,2,FWL4,2.159
34.08648,-118.32309,,,2.262
34.08466,-118.32309,2,,2.273
34.08466,-118.32309,2,,2.273
34.08868,-118.3231,,,2.248
34.06032,-118.32314,,,2.281
34.05917,-118.32316,,,2.271
34.04165,-118.32318,2,FWL4,2.137
34.08441,-118.32319,3,,2.273
34.06016,-118.32323,,,2.28
34.00978,-118.32327,,,1.955
34.04083,-118.3233,2,FWL3,2.133
34.03715,-118.3233,2,FWL1,2.112
34.09527,-118.32334,,,2.326
34.09465,-118.32334,,,2.315
34.04595,-118.32334,2,,2.161
34.03088,-118.32334,3,FWL3,2.078
34.05218,-118.32337,3,,2.204
34.08804,-118.32338,,,2.248
34.03677,-118.32338,3,,2.11
34.00397,-118.3234,2,FWL3,1.927
34.08647,-118.32342,,,2.257
34.08686,-118.32343,,,2.255
34.05869,-118.3235,,,2.265
34.10832,-118.32357,,,2.648
34.08505,-118.32358,,,2.263
34.0901,-118.3236,2,,2.235
34.10608,-118.32367,,,2.646
34.09158,-118.32368,,,2.26
34.10801,-118.32369,,,2.647
34.09368,-118.32369,,,2.297
34.05842,-118.32374,,,2.262
34.00694,-118.32374,2,,1.943
34.08647,-118.32375,,,2.253
34.08505,-118.32375,,,2.261
34.08919,-118.32376,,,2.236
34.08867,-118.32376,,,2.239
34.08776,-118.32376,2,,2.245
34.08738,-118.32376,,,2.247
34.08689,-118.32381,,,2.249
34.09501,-118.32382,2,,2.32
34.10662,-118.32386,,,2.645
34.08557,-118.32391,,,2.256
34.08504,-118.32391,,,2.259
34.08829,-118.32392,2,,2.239
34.08647,-118.32392,,,2.25
34.08895,-118.32393,,,2.235
34.08867,-118.32393,,,2.237
34.03841,-118.32398,2,FWL1,2.118
34.09464,-118.32402,2,,2.313
34.00341,-118.32404,,,1.923
34.08985,-118.32405,2,,2.229
34.08686,-118.32408,,,2.246
34.08647,-118.32408,,,2.248
34.08603,-118.32408,,,2.251
34.08958,-118.32409,2,,2.23
34.08868,-118.3241,,,2.235
34.08739,-118.3241,,,2.242
34.09288,-118.32411,,,2.28
34.08926,-118.32411,2,,2.231
34.04998,-118.32417,2,,2.181
34.08732,-118.32425,3,,2.241
34.08958,-118.32426,2,,2.227
34.08777,-118.32426,2,,2.238
34.08681,-118.32426,2,,2.243
34.03093,-118.32428,,FWL1,2.077
33.98113,-118.32429,,,1.837
34.08638,-118.32434,2,,2.245
34.08638,-118.32434,2,,2.245
34.04873,-118.32446,3,,2.173
34.04463,-118.32457,,,2.151
34.05927,-118.32458,,,2.268
34.0901,-118.32462,2,,2.222
34.09323,-118.32464,3,,2.283
34.05903,-118.32465,,,2.266
34.03151,-118.32465,2,,2.079
34.05888,-118.32473,,,2.264
34.05068,-118.32473,2,,2.186
34.08867,-118.32478,,,2.226
34.08685,-118.32478,,,2.236
34.08647,-118.32478,,,2.238
34.0901,-118.32479,2,,2.22
34.08919,-118.32479,,,2.223
34.09191,-118.3248,2,FWL4,2.256
34.05856,-118.32484,,,2.261
34.10579,-118.32486,2,,2.641
34.10757,-118.32489,2,FWL3,2.642
34.09324,-118.32489,,,2.281
34.05117,-118.32489,3,,2.191
34.08982,-118.3249,2,,2.217
34.08686,-118.32494,,,2.234
34.08647,-118.32494,,,2.236
34.08866,-118.32495,,,2.223
34.10876,-118.32496,2,,2.642
34.08731,-118.32496,,,2.231
34.04314,-118.32501,2,,2.142
34.05939,-118.32502,,,2.268
33.99295,-118.32503,2,FWL3,1.878
34.04497,-118.32506,,,2.152
34.03921,-118.32508,2,,2.121
34.00348,-118.3251,,,1.923
34.08647,-118.32511,,,2.234
34.04483,-118.32513,,,2.151
34.0035,-118.32519,,,1.923
34.0832,-118.3252,,,2.251
34.08413,-118.32526,2,,2.245
34.08647,-118.32527,,,2.231
34.08504,-118.32527,,,2.24
34.09593,-118.32528,3,,2.335
34.08919,-118.32528,,,2.216
34.08828,-118.32528,2,,2.221
34.08738,-118.32528,,,2.226
34.08686,-118.32529,,,2.229
34.04332,-118.32529,,,2.142
34.05874,-118.32535,,,2.261
34.08529,-118.3254,,,2.236
34.10668,-118.32541,2,FWL3,2.639
34.09556,-118.32544,2,FWL4,2.327
34.08647,-118.32544,,,2.229
34.00688,-118.32551,2,,1.941
34.03299,-118.32552,2,,2.086
34.08957,-118.32554,2,,2.21
34.10644,-118.3256,2,,2.638
34.08465,-118.3256,2,,2.237
34.0923,-118.32562,,,2.257
34.0901,-118.32562,2,,2.209
34.05049,-118.32567,,,2.182
34.03916,-118.32567,2,,2.119
34.03895,-118.32567,2,FWL4,2.118
34.09008,-118.32579,2,,2.206
34.09232,-118.32581,,,2.255
34.08957,-118.32594,2,,2.205
34.08828,-118.32594,2,FWL3,2.212
34.01061,-118.32602,2,,1.962
33.97788,-118.32603,2,FWL4,1.824
33.98085,-118.32618,2,,1.835
34.04375,-118.32621,,,2.143
34.0078,-118.32622,,,1.946
34.05839,-118.32634,,,2.255
34.03873,-118.32636,2,,2.116
33.9841,-118.32648,,,1.846
33.98228,-118.32649,,,1.84
34.08504,-118.32664,,,2.22
34.10471,-118.32672,,,2.632
34.03903,-118.32673,2,,2.116
34.00738,-118.32676,,,1.943
34.00368,-118.3268,,,1.922
34.0815,-118.32683,,,2.237
33.98378,-118.32689,2,,1.845
33.98328,-118.32689,2,FWL4,1.843
33.98345,-118.3269,2,FWL4,1.844
34.04634,-118.32709,2,,2.155
34.10987,-118.3271,,,2.633
34.10912,-118.32713,,,2.633
34.02069,-118.32715,,,1.992
34.10927,-118.32736,,,2.632
34.03005,-118.32739,2,FWL4,2.067
34.0913,-118.32745,,,2.216
34.04649,-118.32747,2,,2.155
33.98375,-118.3275,2,,1.844
33.98125,-118.32751,2,FWL1,1.835
33.9835,-118.32755,2,,1.843
34.00845,-118.32763,2,,1.948
34.0002,-118.32778,2,FWL3,1.902
33.9892,-118.32782,,,1.863
34.10472,-118.32794,,,2.627
33.97695,-118.32797,2,FWL1,1.82
34.09171,-118.32802,,,2.221
34.08405,-118.32803,,,2.206
34.08391,-118.32803,,,2.206
33.9857,-118.32807,2,,1.851
34.10723,-118.3281,,,2.628
34.11008,-118.32829,,,2.628
33.98492,-118.32831,2,,1.848
33.98204,-118.32832,2,,1.838
33.98121,-118.32832,2,FWL1,1.835
33.98154,-118.32833,2,,1.836
33.98097,-118.32833,2,FWL1,1.834
34.04557,-118.32835,2,,2.148
33.97667,-118.32836,2,FWL1,1.819
34.1043,-118.32841,,,2.625
34.09239,-118.3285,3,,2.235
34.1046,-118.32856,,,2.624
34.10444,-118.32856,,,2.624
34.09192,-118.32859,3,,2.221
34.03005,-118.32862,,,2.065
33.97414,-118.32872,2,FWL1,1.81
34.03166,-118.32877,3,,2.073
34.10431,-118.32895,,,2.623
34.03303,-118.32895,3,FWL1,2.08
33.97664,-118.32901,2,FWL4,1.818
33.98523,-118.32906,2,FWL1,1.848
33.97424,-118.32908,,,1.81
34.1083,-118.32912,,,2.624
34.11004,-118.32924,,,2.624
34.10843,-118.32934,,,2.623
34.03302,-118.32934,3,,2.08
34.00604,-118.3294,,,1.933
34.10636,-118.32942,,,2.622
34.04352,-118.32949,2,,2.135
34.08404,-118.32952,2,,2.185
34.09281,-118.32966,,,2.238
34.10859,-118.32967,,,2.622
33.97487,-118.32976,2,,1.812
33.98409,-118.32977,2,FWL4,1.844
33.98409,-118.32977,2,FWL4,1.844
33.97714,-118.32977,2,FWL4,1.82
34.08818,-118.3299,2,,2.159
34.03178,-118.32995,3,FWL3,2.072
