Latitude,Longitude,Story,Type,SMS
34.11182,-118.19732,2,,2.823
34.10545,-118.19741,2,,2.852
34.04255,-118.19742,3,,2.43
34.05956,-118.19744,,,2.556
34.12039,-118.1977,,,2.784
34.10935,-118.1978,2,,2.835
34.10623,-118.19793,2,,2.848
34.0229,-118.19811,2,FWL3,2.286
34.10931,-118.1983,2,,2.835
34.10952,-118.19844,2,,2.834
34.10542,-118.19845,,,2.852
34.10708,-118.19846,2,,2.845
34.05284,-118.19848,,,2.504
34.04688,-118.19853,2,,2.46
34.13977,-118.19882,2,,2.636
34.02407,-118.19936,2,,2.293
34.07074,-118.19959,3,,2.641
34.03863,-118.19992,,,2.399
34.10402,-118.20022,3,,2.858
34.0518,-118.20035,,,2.494
34.06963,-118.20043,,,2.632
34.03179,-118.20051,3,,2.348
34.03937,-118.20055,2,,2.403
34.10329,-118.20058,2,,2.862
34.05045,-118.20071,,,2.483
34.04998,-118.20081,,,2.48
34.10663,-118.20106,2,,2.847
34.04553,-118.20107,2,,2.447
34.10711,-118.20121,,,2.845
34.05005,-118.20122,,,2.48
34.04289,-118.20126,,,2.428
34.10979,-118.20152,2,,2.834
34.1217,-118.20182,,,2.771
34.07666,-118.20204,,,2.685
34.04797,-118.20208,,,2.463
34.07263,-118.20216,,,2.654
34.10363,-118.20219,3,,2.861
34.02511,-118.20235,,,2.296
34.07271,-118.2025,,,2.654
34.03694,-118.2028,2,FWL3,2.382
34.10233,-118.20298,2,,2.867
34.04198,-118.20298,,,2.419
34.10927,-118.20299,2,,2.836
34.10941,-118.20306,2,,2.836
34.06938,-118.20317,,,2.628
34.05182,-118.20321,3,,2.49
34.07036,-118.20366,2,FWL3,2.635
34.1093,-118.20395,2,,2.837
34.10822,-118.20396,2,,2.841
34.03518,-118.20403,,,2.367
34.04935,-118.20404,,,2.47
34.1005,-118.20408,2,,2.868
34.07334,-118.20409,3,,2.658
34.07033,-118.20411,2,,2.634
34.10844,-118.20412,2,,2.84
34.05671,-118.2043,2,,2.527
34.04788,-118.20436,2,,2.459
34.09156,-118.20438,,,2.801
34.10884,-118.20442,2,,2.839
34.10012,-118.20445,,,2.867
34.10899,-118.20457,2,,2.838
34.05805,-118.20466,2,,2.537
34.04854,-118.20474,2,FWL3,2.463
34.03641,-118.2053,2,,2.374
34.03053,-118.20555,2,,2.331
34.03922,-118.2057,2,,2.394
34.04786,-118.20573,2,,2.457
34.03251,-118.20586,2,,2.345
34.04369,-118.20588,,,2.426
34.04331,-118.20596,,,2.423
34.05032,-118.20598,,,2.474
34.04375,-118.20601,,,2.427
34.04337,-118.20609,,,2.424
34.13846,-118.20617,3,,2.668
34.09723,-118.20624,2,,2.846
34.04348,-118.20635,,,2.424
34.04299,-118.2065,,,2.42
34.044,-118.20658,3,,2.427
34.04533,-118.20667,,,2.437
34.04455,-118.20672,,,2.431
34.04368,-118.20679,3,,2.425
34.04126,-118.2068,,,2.407
34.04461,-118.20689,,,2.431
34.11856,-118.2072,2,,2.788
34.04173,-118.2072,,,2.41
34.09174,-118.20721,2,,2.802
34.13552,-118.20722,,,2.69
34.07556,-118.20739,2,,2.673
34.04435,-118.20739,,,2.429
34.04397,-118.20745,,,2.426
34.13767,-118.20748,,,2.678
34.04466,-118.2079,,,2.43
34.05113,-118.20795,,,2.478
34.04563,-118.20806,,,2.437
34.11248,-118.20826,2,,2.821
34.04169,-118.20835,,,2.408
34.13414,-118.20837,,,2.702
34.09177,-118.20845,,,2.802
34.04495,-118.20867,,,2.431
34.04274,-118.20871,,,2.415
34.07524,-118.2088,,,2.67
34.04577,-118.20886,,,2.437
34.07469,-118.20942,,,2.665
34.07607,-118.20947,,,2.676
34.09626,-118.20962,,,2.838
34.0432,-118.20966,,,2.417
34.04042,-118.20967,2,,2.396
34.0669,-118.20986,,,2.602
34.04283,-118.20989,,,2.414
34.08604,-118.21017,,,2.756
34.1347,-118.21063,,,2.705
34.06625,-118.21068,,,2.596
34.13777,-118.21078,,,2.689
34.04141,-118.21084,,,2.402
34.02451,-118.21084,2,,2.277
34.05652,-118.21144,,,2.516
34.13411,-118.21152,,,2.712
34.07371,-118.2117,,,2.655
34.0737,-118.21173,,,2.655
34.0737,-118.21173,,,2.655
34.0737,-118.21173,,,2.655
34.07479,-118.21177,,,2.664
34.077,-118.21182,,,2.682
34.05396,-118.21195,3,,2.494
34.08286,-118.21218,2,,2.729
34.09187,-118.21221,2,,2.802
34.0817,-118.21223,2,,2.72
34.07777,-118.21278,,,2.687
34.07859,-118.2128,,,2.694
34.07908,-118.21281,2,,2.698
34.07971,-118.21282,,,2.703
34.12178,-118.21293,,,2.78
34.03772,-118.21318,,,2.371
34.07713,-118.21325,,,2.682
34.0745,-118.21347,,,2.66
34.04776,-118.21352,2,,2.444
34.08235,-118.21354,,,2.724
34.03943,-118.21372,,,2.383
34.04576,-118.21381,,,2.429
34.07092,-118.21393,,,2.631
34.1218,-118.21437,2,,2.785
34.06722,-118.21442,,,2.6
34.12351,-118.21455,,,2.778
34.13776,-118.21456,,,2.704
34.13776,-118.21456,,,2.704
34.06659,-118.21458,,,2.595
34.081,-118.21465,,,2.713
34.03773,-118.21475,2,,2.369
34.04377,-118.21476,,,2.413
34.03764,-118.21484,2,FWL3,2.368
34.04394,-118.21489,2,,2.414
34.03753,-118.2149,3,FWL3,2.367
34.05094,-118.21517,2,FWL3,2.465
34.05101,-118.21531,3,,2.465
34.07971,-118.21533,,,2.702
34.06425,-118.21545,,,2.574
34.05205,-118.21572,2,,2.473
34.05188,-118.21607,2,FWL3,2.471
34.04677,-118.21609,,,2.432
34.05385,-118.2163,,,2.487
34.04039,-118.21632,,,2.386
34.13166,-118.21638,,,2.744
34.13166,-118.21638,,,2.744
34.13458,-118.21642,,,2.728
34.07757,-118.21686,3,FWL1,2.683
34.0704,-118.21694,,,2.624
34.12805,-118.21701,2,,2.764
34.07043,-118.21713,3,,2.624
34.12953,-118.2173,2,,2.759
34.13432,-118.21735,2,,2.734
34.04348,-118.21754,,,2.406
34.0721,-118.21775,,,2.637
34.1288,-118.21785,2,,2.764
34.04371,-118.21814,,,2.407
34.04681,-118.21825,,FWL4,2.429
34.12804,-118.21827,2,,2.769
34.12921,-118.21836,,,2.764
34.12961,-118.21858,2,,2.763
34.04465,-118.21879,,,2.413
34.12404,-118.21889,,,2.79
34.08862,-118.21909,,,2.774
34.0369,-118.21922,3,FWL3,2.355
34.03658,-118.21924,3,FWL3,2.353
34.05456,-118.21934,,,2.489
34.04519,-118.21939,2,FWL4,2.416
34.06984,-118.21941,,,2.617
34.04566,-118.21945,2,FWL3,2.419
34.0466,-118.21958,2,,2.426
34.13662,-118.21997,2,,2.732
34.07068,-118.22013,2,FWL1,2.623
34.04832,-118.22019,,,2.437
34.04282,-118.22019,3,FWL3,2.397
34.04221,-118.22025,,,2.392
34.12776,-118.22026,2,,2.778
34.04767,-118.22034,,,2.432
34.05216,-118.22066,,,2.467
34.04807,-118.22091,,,2.434
34.08459,-118.22101,2,,2.74
34.04934,-118.22119,,,2.443
34.05302,-118.22128,,,2.473
34.12509,-118.22201,,,2.798
34.04468,-118.22204,,,2.408
34.04483,-118.22218,,,2.408
34.04675,-118.2232,,,2.421
34.08656,-118.2244,2,,2.756
34.1228,-118.22444,2,,2.82
34.09285,-118.22455,2,,2.809
34.14337,-118.22578,3,FWL3,2.742
34.09337,-118.22594,,,2.814
34.12184,-118.22651,,,2.835
34.10442,-118.22653,,,2.88
34.12135,-118.22715,2,,2.841
34.10397,-118.22769,,,2.879
34.07154,-118.22969,,,2.623
34.09692,-118.22987,2,,2.845
34.07194,-118.23019,,,2.626
34.12287,-118.23057,2,,2.846
34.10728,-118.2306,2,,2.884
34.07198,-118.23092,,,2.626
34.07236,-118.23103,,,2.629
34.07245,-118.23111,,,2.63
34.10627,-118.23126,2,,2.885
34.10698,-118.23187,3,,2.887
34.07457,-118.23197,,,2.648
34.12544,-118.23215,,,2.834
34.12675,-118.23234,,,2.827
34.13218,-118.2328,,,2.799
34.13246,-118.23285,,,2.798
34.12926,-118.23288,,,2.814
33.94296,-118.23288,2,,1.786
34.12968,-118.23294,,,2.812
34.12982,-118.23297,,,2.811
34.13011,-118.23303,,,2.809
34.08746,-118.23329,,,2.761
34.10731,-118.23381,3,,2.888
34.1027,-118.23396,,,2.878
34.1066,-118.23524,3,,2.887
34.10149,-118.23556,2,,2.876
34.06855,-118.23626,2,,2.591
34.06855,-118.23626,2,,2.591
34.06855,-118.23626,2,,2.591
34.10711,-118.23627,2,,2.889
34.06634,-118.23629,,,2.571
34.06801,-118.2364,2,,2.586
34.06795,-118.23651,2,,2.585
34.06789,-118.23662,3,,2.585
34.11988,-118.23708,,,2.875
34.11815,-118.23735,,,2.878
34.11866,-118.23746,2,,2.878
34.11139,-118.23767,,,2.889
34.06899,-118.2377,,,2.593
34.11,-118.23778,2,,2.891
34.1153,-118.23781,2,,2.883
34.06834,-118.23887,,,2.586
34.06693,-118.2389,,,2.574
34.12002,-118.23923,2,FWL3,2.878
34.10892,-118.23995,2,,2.894
33.96259,-118.23996,,,1.85
34.10995,-118.24012,2,,2.896
34.06328,-118.24027,2,,2.539
34.06474,-118.24035,,,2.552
34.06819,-118.24036,,,2.584
34.11967,-118.24045,2,,2.881
34.06497,-118.24068,2,,2.554
33.93507,-118.2407,2,FWL1,1.755
34.11951,-118.24077,2,FWL3,2.881
34.06228,-118.24087,,,2.529
34.11933,-118.24102,2,,2.882
34.0647,-118.24103,2,,2.551
34.0628,-118.24132,,,2.533
34.06268,-118.24138,,,2.532
34.06477,-118.24149,,,2.551
34.06412,-118.24155,,,2.545
34.06257,-118.24155,,,2.531
34.12152,-118.24166,,,2.874
34.06453,-118.24173,3,,2.549
34.06282,-118.24174,3,,2.533
34.06524,-118.24176,3,,2.555
34.0621,-118.24178,,,2.526
34.06375,-118.24182,3,,2.542
34.11827,-118.24185,2,,2.884
34.12032,-118.24189,2,,2.88
34.12134,-118.24191,2,,2.875
34.11962,-118.24191,2,FWL4,2.882
34.06421,-118.242,,FWL3,2.546
34.06297,-118.24207,3,,2.534
34.06548,-118.24212,3,,2.557
34.06359,-118.24213,3,,2.54
34.12014,-118.24216,2,,2.881
34.06256,-118.24226,,,2.53
34.12004,-118.24229,2,,2.882
34.06412,-118.24239,2,,2.544
34.06381,-118.24247,2,,2.541
34.06151,-118.24262,,,2.52
34.063,-118.24263,,,2.534
34.06215,-118.24266,,,2.526
34.06231,-118.2427,,,2.527
34.06451,-118.2429,3,FWL3,2.547
34.12136,-118.243,2,,2.877
34.06403,-118.24302,3,,2.543
34.06173,-118.24305,,,2.522
34.11977,-118.24332,2,,2.883
34.11858,-118.24343,2,FWL4,2.885
34.06435,-118.24353,2,FWL3,2.545
34.06374,-118.24361,3,FWL3,2.539
34.06246,-118.24364,,,2.528
34.06313,-118.24367,,,2.534
34.11997,-118.2438,2,,2.883
34.06337,-118.24386,2,,2.536
34.11988,-118.24393,2,,2.883
34.06272,-118.24412,3,FWL3,2.529
34.06245,-118.24412,2,FWL3,2.527
34.11804,-118.2442,3,,2.887
34.06663,-118.2442,,,2.566
34.11871,-118.24423,2,,2.886
34.11958,-118.24434,,,2.884
34.06592,-118.24442,3,,2.559
34.06346,-118.24449,3,,2.536
33.92971,-118.24452,,,1.739
34.06631,-118.24456,3,,2.562
34.06333,-118.24461,3,,2.535
34.06619,-118.24463,3,,2.561
34.06318,-118.24468,2,,2.533
34.06318,-118.24468,2,,2.533
34.06453,-118.24472,,,2.546
34.06596,-118.24477,3,,2.559
34.06423,-118.24484,2,,2.543
34.06365,-118.24489,,,2.537
34.11984,-118.24502,2,,2.884
34.0675,-118.24506,2,,2.573
34.06738,-118.24512,3,,2.572
34.11806,-118.24518,2,,2.888
34.06292,-118.24544,3,FWL1,2.53
34.06775,-118.24566,3,,2.575
34.00123,-118.24577,2,,2.036
34.15987,-118.24583,,,2.797
34.15979,-118.24583,,,2.797
34.15977,-118.24583,,,2.797
34.06726,-118.24595,3,,2.57
34.06713,-118.24602,2,,2.569
34.06938,-118.24605,3,,2.59
34.06866,-118.24609,3,FWL3,2.583
34.06885,-118.24615,2,,2.585
34.06781,-118.2462,,FWL3,2.575
33.95254,-118.24627,2,,1.786
34.06659,-118.24634,2,,2.563
34.06744,-118.24641,3,FWL3,2.571
34.06868,-118.24642,3,FWL3,2.583
34.0669,-118.24671,3,FWL3,2.566
34.06898,-118.24682,,,2.585
34.06873,-118.24695,,,2.583
34.06768,-118.24701,2,FWL3,2.573
34.06861,-118.24704,,,2.581
34.06569,-118.24708,,,2.554
34.06683,-118.24712,2,FWL3,2.565
34.06709,-118.24726,3,FWL3,2.567
34.10374,-118.24747,,,2.884
34.06763,-118.24761,,,2.572
34.06706,-118.24777,,,2.566
34.06755,-118.24781,,,2.571
34.06966,-118.24785,,,2.591
34.06923,-118.24798,,,2.586
33.79364,-118.24811,2,,1.649
33.79399,-118.24849,,,1.648
34.09153,-118.24871,2,,2.795
34.00418,-118.24875,,,2.054
34.00856,-118.24889,2,FWL3,2.088
34.01638,-118.24905,2,,2.149
34.0695,-118.24934,3,,2.588
34.01648,-118.24937,2,,2.15
34.07245,-118.24966,3,,2.615
34.02137,-118.25,2,FWL4,2.186
34.06668,-118.25038,,,2.559
34.00327,-118.25051,2,,2.043
