Existing,Ordinance,Algorithm
9744728.477,2846903.11,5939674.572
13308856,4081443.889,8294147.279
10675549.44,2926348.705,5571934.202
31195350.77,12321344.48,19391604.77
19003070.82,6029150.12,11764056.73
34763155.81,11605497.01,22678172.87
17149589.83,6521895.801,10302991.73
19494949.02,6549159.419,11208113.56
18218969.65,5449811.073,11622796.49
34103048.64,11129906.74,20575336.86
41611553.55,14725204.1,26349311.03
33508460.46,11179195.78,19305834.41
58726923.06,22248953.95,39230368.6
11458804.8,3163122.106,7445704.133
14308449.38,3983529.151,9152587.555
21771360.9,8390462.04,16413123.52
46223512.66,19832668.25,30830229.94
58549394.03,26356635.83,43547644.82
51907237.49,18743270.2,36551998.46
64415460.06,24204892.54,45490672.84
237098521.5,102156581.6,178187531.5
273749108.5,115309945.8,200691367.2
316922993,136560479.1,240167848.5
344439186.7,150109009.8,254126760
386666559.5,179471333,278883403.5
378976008.3,169560038.2,278427754.5
596228147.9,294672601,460793092.9
650617789.8,314732800.8,478643609.2
635452206.6,309523420.4,480637147.8
905577830.1,465168347.2,684363415.2
838709781.5,425368832.4,635666854.8
1032703765,546390209.1,817667135.5
1268566826,674976085.3,967370962.2
1140526292,593618019.9,854414520
1232474581,646921310.3,956326441.7
1367661559,744186457.7,1079125768
1415625537,761899012.4,1097701620
1515449119,817785526.2,1176002193
1067842480,562112724,817462429.8
1094452414,563364245.7,820853588
1031173123,545803149.6,788493503
1418893421,780761146.1,1103162000
1271727393,668347367.8,989394005.2
1406832023,755763937.2,1098658038
2005261364,1160886562,1576547630
1122138868,595967680.3,876851498.7
989869255.2,508596745,748198542.4
1421962287,769015517.6,1080259542
1405211788,752538132.7,1078953283
1501493127,823932318.1,1184263959
1420344799,773608930.2,1090789059
1046185433,534856687.9,783514189.8
1188601475,629736750.4,914003826.1
1090988914,553651449,829756860.2
1470685011,796352023.9,1132134237
1633938674,908641899.1,1273693808
1822570599,1005133931,1413895194
1612657508,884523890.7,1252717883
1028227951,540180998.3,789849657
1264145122,662896299.4,975245290.8
1367003582,731411651.4,1060930383
1479870095,803104486.3,1153830736
1455059373,772910005.4,1133707992
1781093382,1022691435,1397846665
2122735193,1304210596,1738418284
474139.6985,89076.85416,340460.2313
1376764.752,328651.58,817804.9955
559694.5693,100267.2832,304606.7845
1195233.976,280172.4049,698036.6036
2607105.39,587700.8172,1749724.974
3846126.539,1032226.159,2919738.34
4335263.84,1227271.26,2727233.482
3567158.204,864815.2975,2450347.234
22687376.18,6393740.872,13760378.51
38788344.91,12582423.38,26287679.4
63787272.56,22298261.29,44390305.12
54598630.55,19329859.65,38179292.26
66316568.94,24040488.79,48517494.06
74060801.35,26062921.8,51958490.17
275062580.8,122233580.3,197309250.5
304275091.1,141007165.3,230049143.8
355560154.5,158414383.5,256385330.7
406780796.3,193721669.3,306035057.8
338771957.8,150102404.8,238839744.7
421035990.5,188883681.5,307117830.2
566186886.8,259924579.5,414219128.2
595631140.3,286785991.1,444882645.8
695272806.9,333505850,514121295.3
1001773038,518402388.7,769064657
918514826,460855125,686239409.3
1027375959,525477167.5,775342395.1
780519340.6,380705297.3,583553855
1076048901,554077988.8,808353344.8
1093276501,576105661.7,825169361.8
1313857960,713982682.5,1012094639
1624488437,919400390.8,1277205235
1512367235,836974238.1,1176165535
1645495477,905265311.4,1282482754
1131825988,589900357.1,866104528.5
1043941215,536688021.3,803845821.9
1167418754,625851140.1,896121529.1
1484966987,813957851.7,1144521968
1508849999,842451523.9,1164976951
1518502306,818742998.9,1166890646
1778997716,983527281.7,1367645233
1090947579,585497095.8,851170930.8
1115697998,573559670.1,840397147.3
1490161682,836367675,1140727298
1434783715,799743271.1,1120366650
1585720400,861448159.7,1238251977
1374553754,738460542.4,1049789550
1567973848,855624303.8,1215018756
1409705932,760495758.1,1087030898
1263008274,678040864.7,956382692.4
1452989777,803556705.8,1133447541
1598314675,912185651.2,1259734289
1741215634,981055641.1,1380144225
1948293747,1141490430,1540463930
1939340151,1104853480,1519792688
1255729827,680264831.9,980753127.4
1543437302,886106985.5,1219688097
1540126430,858401916.2,1197211814
1493823502,806524769.6,1159989715
1273742855,653347657.6,948725818
1509293739,831036081.7,1175129950
2018375060,1171417457,1614750146
2020548281,1159496832,1605207719
466118.9668,95976.23793,151145.0928
200830.4818,30203.58945,112864.983
802173.3962,164881.4766,437258.9377
