Lat,Long,Existing,Ordinance ,Algorithm
34.13846,-118.20617,1512366.192,1378899.124,1376370.376
34.09723,-118.20624,691234.1587,333649.742,493869.007
34.04348,-118.20635,1420850.705,1273138.464,1270390.121
34.04299,-118.2065,684664.3571,547762.5351,610403.9992
34.044,-118.20658,3251851.094,2931026.298,3197518.691
34.04533,-118.20667,1687600.193,1480283.692,1701038.311
34.04455,-118.20672,1849479.821,1568911.522,1828405.591
34.04368,-118.20679,1566779.816,1287840.259,1571623.237
34.04126,-118.2068,680517.0594,543652.4913,606238.5352
34.04461,-118.20689,803061.9002,583094.2617,796804.4876
34.11856,-118.2072,482130.7363,342416.1997,474053.3171
34.04173,-118.2072,2136346.099,1441722.314,1552035.74
34.09174,-118.20721,484552.424,344910.7449,476493.0217
34.13552,-118.20722,1840596.527,1631584.339,1835428.642
34.07556,-118.20739,466271.5945,355838.0172,370185.9103
34.04435,-118.20739,411034.6506,272997.2267,400791.9986
34.04397,-118.20745,734588.9961,472962.784,741426.9854
34.13767,-118.20748,1833756.739,1624107.065,1828568.94
34.04466,-118.2079,1139806.608,850087.1131,943908.7467
34.05113,-118.20795,752053.4833,490105.0304,758834.2452
34.04563,-118.20806,418648.9933,308550.8315,305983.6947
34.11248,-118.20826,493474.7478,384040.2719,426396.079
34.04169,-118.20835,814665.6005,642319.7591,715915.2533
34.13414,-118.20837,775173.5301,639836.8237,684735.8834
34.09177,-118.20845,1904138.217,1714195.692,1916137.664
34.04495,-118.20867,417363.3008,307309.3949,304745.2115
34.04274,-118.20871,731034.0208,469512.6965,737882.6002
34.07524,-118.2088,465699.721,355254.7046,369599.9616
34.04577,-118.20886,906185.3338,745447.9635,756360.5012
34.07469,-118.20942,458971.9106,319008.076,450748.485
34.07607,-118.20947,1835372.242,1638695.256,1847903.306
34.09626,-118.20962,496365.2102,387090.4101,429428.8321
34.0432,-118.20966,1670265.419,1448837.339,1664684.968
34.04042,-118.20967,724891.4726,463582.2795,731757.5089
34.0669,-118.20986,452299.8083,341696.481,355966.2401
34.04283,-118.20989,682593.7303,545709.3457,608323.6648
34.08604,-118.21017,3448649.758,3182575.194,3422239.914
34.1347,-118.21063,913381.5468,690996.3447,907246.1559
34.06625,-118.21068,1618589.064,1362100.893,1622915.936
34.13777,-118.21078,463552.9142,323575.1498,455354.6174
34.04141,-118.21084,3391895.45,2871180.851,3362354.478
34.02451,-118.21084,756296.1162,586193.9103,632721.5239
34.05652,-118.21144,860489.4775,687403.4896,761742.7123
34.13411,-118.21152,473624.985,363373.1168,377750.5411
34.07371,-118.2117,1214711.965,941812.579,1034036.982
34.0737,-118.21173,761161.314,625277.1739,670239.342
34.0737,-118.21173,1823308.396,1625570.76,1835925.381
34.0737,-118.21173,894419.5188,671959.8593,888249.2121
34.07479,-118.21177,763901.1324,628114.9995,673067.8117
34.077,-118.21182,904819.5635,682374.8523,898667.684
34.05396,-118.21195,3446336.572,2952955.871,3418757.973
34.08286,-118.21218,476690.9164,366533.9253,380921.2435
34.09187,-118.21221,970994.5664,799982.6293,860278.1962
34.0817,-118.21223,469480.6272,329530.6852,461317.583
34.07777,-118.21278,1228305.017,918488.5188,977340.3071
34.07859,-118.2128,931215.5244,758810.7113,833523.6745
34.07908,-118.21281,471096.5708,360774.9503,375143.1391
34.07971,-118.21282,775619.6277,640302.2444,685198.6682
34.12178,-118.21293,480777.8434,341026.5282,472690.5872
34.03772,-118.21318,3211387.483,2881020.807,3155185.457
34.07713,-118.21325,815090.2018,554772.2604,821591.4622
34.0745,-118.21347,957015.6058,809653.3019,830455.3486
34.04776,-118.21352,606218.1912,249449.5339,404831.7532
34.08235,-118.21354,470319.6028,330377.8124,462161.7982
34.03943,-118.21372,406620.0515,297006.1808,267510.4138
34.04576,-118.21381,1681546.159,1473899.595,1695014.825
34.07092,-118.21393,1151662.816,706558.3142,856768.1877
34.1218,-118.21437,844232.9258,586247.0468,850565.4406
34.06722,-118.21442,1201477.366,883874.0258,947868.6445
34.12351,-118.21455,666862.7611,387085.8771,429892.6766
34.13776,-118.21456,1229394.392,960603.0529,1051885.2
34.13776,-118.21456,3549704.007,3115518.097,3526192.947
34.06659,-118.21458,870816.5066,648553.4262,864610.867
34.081,-118.21465,938564.5168,766361.1255,841056.8702
34.03773,-118.21475,403648.0592,294177.9266,264784.5029
34.04377,-118.21476,1137647.322,805580.7375,870694.0288
34.03764,-118.21484,397958.0324,260988.0148,375420.7408
34.04394,-118.21489,1668215.892,1446680.695,1662631.508
34.03753,-118.2149,1396537.591,1245665.514,1267015.585
34.05094,-118.21517,418713.532,280155.0448,408484.0113
34.05101,-118.21531,1580018.473,1306443.742,1584735.348
34.07971,-118.21533,912245.4425,689849.8781,906107.7951
34.06425,-118.21545,1775098.705,1573470.399,1788037.69
34.05205,-118.21572,426287.82,315964.0999,313380.2255
34.05188,-118.21607,425972.1175,315656.4464,313073.2361
34.04677,-118.21609,803706.1806,583704.8823,797448.9151
34.05385,-118.2163,1720260.155,1514864.431,1733524.636
34.04039,-118.21632,3381608.581,2855996.016,3351709.691
34.13166,-118.21638,1979588.651,1735260.544,1961853.055
34.13166,-118.21638,1872970.163,1679828.075,1885219.473
34.13458,-118.21642,3560000.687,3132300.539,3536921.547
34.07757,-118.21686,1324429.184,826126.3814,1158202.723
34.0704,-118.21694,1317009.986,805068.9826,1143545.938
34.12805,-118.21701,793594.299,659154.0242,703911.5156
34.07043,-118.21713,1248819.573,884735.9425,930228.0404
34.12953,-118.2173,1244730.211,980539.059,1070728.856
34.13432,-118.21735,477522.4403,367393.1351,381782.8884
34.04348,-118.21754,1837050.002,1553612.125,1815697.028
34.0721,-118.21775,909309.1558,736451.67,811152.3094
34.1288,-118.21785,957436.9375,785866.4203,860467.9313
34.04371,-118.21814,1131526.937,840342.4684,934399.6316
34.04681,-118.21825,823753.8043,651188.9451,724962.3175
34.12804,-118.21827,1251161,948858.2694,1006905.687
34.12921,-118.21836,2148595.336,1813593.923,1867558.688
34.12961,-118.21858,477508.9518,337680.3136,469398.6007
34.04465,-118.21879,1670353.664,1462118.081,1683877.466
34.12404,-118.21889,1895681.879,1692252.328,1890684.991
34.08862,-118.21909,479691.659,339912.8432,471596.6232
34.0369,-118.21922,881498.3139,601246.4906,859170.8377
34.03658,-118.21924,1541797.07,1253377.397,1546869.618
34.05456,-118.21934,1160637.003,874936.7453,968057.068
34.04519,-118.21939,1672397.68,1464267.619,1685911.543
34.06984,-118.21941,1247702.57,882663.9366,928216.357
34.04566,-118.21945,414781.1787,304821.6019,302263.467
34.0466,-118.21958,410389.0662,272399.0387,400145.5908
34.13662,-118.21997,1866415.743,1672632.137,1878715.706
34.07068,-118.22013,647190.7011,287395.0671,457680.8572
34.04832,-118.22019,412966.1708,274790.2559,402726.2419
34.04282,-118.22019,896269.6128,733337.9639,705780.0377
34.04221,-118.22025,408919.1846,299200.6376,269627.246
