Lat,Long,SDS,Existing,Ordinance ,Algorithm
34.13309,-118.19391,1.34325,468834.0002,358456.4346,372815.5406
34.10325,-118.19411,1.43025,864209.6043,608442.4705,870411.5708
34.1046,-118.19415,1.42725,1270325.582,1014553.09,1063398.363
34.0485,-118.19416,1.23825,1870700.531,1595255.073,1850117.649
34.11399,-118.19422,1.40775,1558528.841,1433797.313,1442168.943
34.12035,-118.19436,1.39425,966144.8227,794923.0075,869456.4415
34.11104,-118.1944,1.413,810959.9894,677552.4399,731322.4708
34.05366,-118.19449,1.257,3457026.493,2969305.203,3429847.141
34.11369,-118.19454,1.40775,1263588.439,965731.6742,1038312.394
34.14037,-118.19455,1.323,912810.2449,740010.353,814719.3038
34.11202,-118.19463,1.4115,493738.596,384318.2606,426672.6482
34.06632,-118.19467,1.30425,1204297.728,887462.7728,946991.0142
34.10933,-118.19489,1.41675,857126.2083,600512.8821,863375.8682
34.11236,-118.1949,1.41075,2006508.964,1771255.403,1989568.07
34.06132,-118.19491,1.2855,883149.3968,710037.0599,784600.4696
34.1199,-118.19502,1.39575,482670.3901,342971.3076,474596.9404
34.11182,-118.19503,1.4115,956913.2512,735502.8183,950880.2433
34.11417,-118.19506,1.407,486690.4782,347120.6506,478647.4192
34.14001,-118.19507,1.31625,1810186.009,1611334.578,1822894.011
34.10649,-118.19513,1.4235,986910.0285,816666.3673,876833.1324
34.10535,-118.19545,1.42575,1929516.605,1742364.583,1941301.473
34.11268,-118.19551,1.41,1674430.798,1447031.633,1678131.851
34.11252,-118.19557,1.41,2262354.297,1831198.634,2115065.755
34.12097,-118.19573,1.3905,1250916.928,988674.0071,1078390.57
34.04919,-118.19575,1.23975,614811.0685,257044.1216,413905.8185
34.1098,-118.19613,1.416,960113.0139,738819.3591,954088.7639
34.10645,-118.19616,1.4235,492499.8014,353161.1592,484503.2244
34.05872,-118.19655,1.275,436444.1655,296987.9156,426268.5695
34.10705,-118.19657,1.422,679550.2481,401552.3554,516425.8499
34.05862,-118.19668,1.275,1470478.718,1330011.691,1327373
34.10362,-118.19672,1.4295,494586.8278,355344.1847,486607.6934
34.05893,-118.19705,1.27575,728686.4781,591969.5847,654936.1214
34.1124,-118.19718,1.41075,853939.158,596966.5656,860209.7721
34.11182,-118.19732,1.4115,810126.8518,676665.5347,730449.5048
34.10545,-118.19741,1.42575,1269556.83,1013517.456,1062397.284
34.04255,-118.19742,1.215,1208746.855,814258.9525,846091.637
34.05956,-118.19744,1.278,3337300.109,3038453.706,3287201.435
34.12039,-118.1977,1.392,486808.0907,377045.1164,391454.7672
34.10935,-118.1978,1.4175,813450.8675,680206.63,733933.9477
34.10623,-118.19793,1.42425,1925993.398,1725985.347,1939047.949
34.0229,-118.19811,1.143,379417.9289,244342.5342,356948.1294
34.10931,-118.1983,1.4175,961176.288,739922.8287,955154.9858
34.10952,-118.19844,1.41675,960644.8579,739371.2219,954622.08
34.10542,-118.19845,1.42575,493284.0222,353980.6455,485293.9532
34.10708,-118.19846,1.422,1216812.903,788107.6588,957440.6428
34.05284,-118.19848,1.2525,1728944.929,1510999.958,1723487.326
34.04688,-118.19853,1.23,1702578.79,1496113.719,1715939.129
34.13977,-118.19882,1.31775,1208758.814,934273.762,1026852.446
34.02407,-118.19936,1.14675,381129.7674,245860.9674,358650.4519
34.07074,-118.19959,1.32075,1631247.367,1380873.76,1635438.993
34.03863,-118.19992,1.19925,788782.8506,569618.4928,769703.1046
34.10402,-118.20022,1.4295,2018753.778,1787829.406,2002187.262
34.0518,-118.20035,1.24725,618331.625,260209.243,417658.363
34.06963,-118.20043,1.31625,1810186.009,1611334.578,1822894.011
34.03179,-118.20051,1.1745,1808168.203,1518424.456,1740547.849
34.03937,-118.20055,1.2015,1134328.157,801654.6289,866797.7247
34.10329,-118.20058,1.431,970671.4041,749807.7945,964677.2606
34.05045,-118.20071,1.242,1715330.16,1496504.696,1709842.282
34.04998,-118.20081,1.23975,1443389.528,1298832.208,1296131.021
34.10663,-118.20106,1.4235,986910.0285,816666.3673,876833.1324
34.04553,-118.20107,1.224,1150682.094,821132.5823,886103.1055
34.10711,-118.20121,1.42275,1679959.592,1455758.345,1683594.385
34.05005,-118.20122,1.23975,1715380.55,1509682.72,1728671.925
34.04289,-118.20126,1.21425,1848032.894,1567125.635,1826925.875
34.10979,-118.20152,1.41675,813036.6092,679764.9449,733499.4743
34.1217,-118.20182,1.38525,677113.4265,318135.5517,491988.5799
34.07666,-118.20204,1.3425,1227428.007,917339.712,976219.1609
34.04797,-118.20208,1.2315,610897.9202,253562.8067,409758.6752
34.07263,-118.20216,1.32675,1819905.185,1609001.426,1814677.939
34.10363,-118.20219,1.43025,2241254.773,1850366.008,2075910.702
34.02511,-118.20235,1.14825,743397.9526,527506.511,724382.8279
34.07271,-118.2025,1.32675,1634413.842,1385611.502,1638571.051
34.03694,-118.2028,1.191,671623.856,534870.439,608983.597
34.10233,-118.20298,1.43325,501296.5727,392318.5453,434617.9159
34.04198,-118.20298,1.209,2228343.011,1193373.14,1699993.06
34.10927,-118.20299,1.41825,983230.7402,812798.5794,872998.9682
34.10941,-118.20306,1.41825,496103.5184,386813.8294,429153.9919
34.06938,-118.20317,1.314,1807536.901,1608465.63,1820262.969
34.05182,-118.20321,1.245,2204735.948,1671147.505,1994854.984
34.07036,-118.20366,1.31775,755179.1026,619096.1181,664073.7234
34.1093,-118.20395,1.41825,496103.5184,386813.8294,429153.9919
34.10822,-118.20396,1.4205,491451.2087,352066.9265,483446.0166
34.03518,-118.20403,1.1835,796897.8418,625082.2575,672384.4246
34.04935,-118.20404,1.23525,1154333.374,867365.6566,960714.9649
34.1005,-118.20408,1.434,501553.9781,392592.2901,434889.2945
34.07334,-118.20409,1.329,1508830.522,1374739.643,1372200.96
34.07033,-118.20411,1.317,754716.324,618618.82,663597.3355
34.10844,-118.20412,1.4205,1924208.081,1736458.382,1936038.669
34.05671,-118.2043,1.26375,431847.5499,292582.6191,421654.8018
34.04788,-118.20436,1.22925,745626.9377,483759.4812,752429.7654
34.09156,-118.20438,1.40025,489758.1432,380133.72,422505.9722
34.10884,-118.20442,1.419,1922684.017,1734764.1,1934527.649
34.10012,-118.20445,1.434,695326.0556,338275.8864,498817.8815
34.10899,-118.20457,1.419,814278.3197,681089.1838,734801.9676
34.05805,-118.20466,1.26825,1751856.683,1548547.505,1764938.863
34.04854,-118.20474,1.2315,747116.2958,485226.1474,753914.1143
34.03641,-118.2053,1.18725,1644463.273,1434969.732,1658107.978
34.03053,-118.20555,1.1655,701845.4168,441675.5835,708767.4881
34.03922,-118.2057,1.197,403557.9211,266103.2441,381015.6792
34.04786,-118.20573,1.2285,697468.6874,560510.749,623296.6902
34.03251,-118.20586,1.17225,706626.3803,446176.1076,713538.052
34.04369,-118.20588,1.2135,410711.9674,272698.1643,400468.8983
34.04331,-118.20596,1.212,2189737.565,1633961.001,1968417.978
34.05032,-118.20598,1.23675,1708451.152,1489197.561,1702948.385
34.04375,-118.20601,1.2135,801126.5657,581261.3822,794868.7507
34.04337,-118.20609,1.212,799834.2661,580038.6191,793576.2158
34.13846,-118.20617,1.33425,1512366.192,1378899.124,1376370.376
34.09723,-118.20624,1.42275,691234.1587,333649.742,493869.007
34.04348,-118.20635,1.212,1420850.705,1273138.464,1270390.121
34.04299,-118.2065,1.20975,684664.3571,547762.5351,610403.9992
34.044,-118.20658,1.2135,3251851.094,2931026.298,3197518.691
34.04533,-118.20667,1.21875,1687600.193,1480283.692,1701038.311
34.04455,-118.20672,1.21575,1849479.821,1568911.522,1828405.591
34.04368,-118.20679,1.21275,1566779.816,1287840.259,1571623.237
34.04126,-118.2068,1.20375,680517.0594,543652.4913,606238.5352
34.04461,-118.20689,1.21575,803061.9002,583094.2617,796804.4876
34.11856,-118.2072,1.39425,482130.7363,342416.1997,474053.3171
34.04173,-118.2072,1.20525,2136346.099,1441722.314,1552035.74
34.09174,-118.20721,1.401,484552.424,344910.7449,476493.0217
34.13552,-118.20722,1.34475,1840596.527,1631584.339,1835428.642
34.07556,-118.20739,1.3365,466271.5945,355838.0172,370185.9103
34.04435,-118.20739,1.21425,411034.6506,272997.2267,400791.9986
34.04397,-118.20745,1.21275,734588.9961,472962.784,741426.9854
34.13767,-118.20748,1.33875,1833756.739,1624107.065,1828568.94
34.04466,-118.2079,1.215,1139806.608,850087.1131,943908.7467
34.05113,-118.20795,1.239,752053.4833,490105.0304,758834.2452
34.04563,-118.20806,1.21875,418648.9933,308550.8315,305983.6947
34.11248,-118.20826,1.41075,493474.7478,384040.2719,426396.079
34.04169,-118.20835,1.20375,814665.6005,642319.7591,715915.2533
34.13414,-118.20837,1.35075,775173.5301,639836.8237,684735.8834
34.09177,-118.20845,1.401,1904138.217,1714195.692,1916137.664
34.04495,-118.20867,1.21575,417363.3008,307309.3949,304745.2115
34.04274,-118.20871,1.2075,731034.0208,469512.6965,737882.6002
34.07524,-118.2088,1.335,465699.721,355254.7046,369599.9616
34.04577,-118.20886,1.218,906185.3338,745447.9635,756360.5012
34.07469,-118.20942,1.332,458971.9106,319008.076,450748.485
34.07607,-118.20947,1.338,1835372.242,1638695.256,1847903.306
34.09626,-118.20962,1.419,496365.2102,387090.4101,429428.8321
34.0432,-118.20966,1.20825,1670265.419,1448837.339,1664684.968
34.04042,-118.20967,1.1985,724891.4726,463582.2795,731757.5089
34.0669,-118.20986,1.3005,452299.8083,341696.481,355966.2401
34.04283,-118.20989,1.20675,682593.7303,545709.3457,608323.6648
34.08604,-118.21017,1.37775,3448649.758,3182575.194,3422239.914
34.1347,-118.21063,1.35225,913381.5468,690996.3447,907246.1559
34.06625,-118.21068,1.2975,1618589.064,1362100.893,1622915.936
34.13777,-118.21078,1.344,463552.9142,323575.1498,455354.6174
34.04141,-118.21084,1.20075,3391895.45,2871180.851,3362354.478
34.02451,-118.21084,1.1385,756296.1162,586193.9103,632721.5239
34.05652,-118.21144,1.25775,860489.4775,687403.4896,761742.7123
34.13411,-118.21152,1.356,473624.985,363373.1168,377750.5411
34.07371,-118.2117,1.3275,1214711.965,941812.579,1034036.982
34.0737,-118.21173,1.3275,761161.314,625277.1739,670239.342
34.0737,-118.21173,1.3275,1823308.396,1625570.76,1835925.381
34.0737,-118.21173,1.3275,894419.5188,671959.8593,888249.2121
34.07479,-118.21177,1.332,763901.1324,628114.9995,673067.8117
34.077,-118.21182,1.341,904819.5635,682374.8523,898667.684
34.05396,-118.21195,1.24725,3446336.572,2952955.871,3418757.973
34.08286,-118.21218,1.36425,476690.9164,366533.9253,380921.2435
34.09187,-118.21221,1.401,970994.5664,799982.6293,860278.1962
34.0817,-118.21223,1.35975,469480.6272,329530.6852,461317.583
34.07777,-118.21278,1.344,1228305.017,918488.5188,977340.3071
34.07859,-118.2128,1.347,931215.5244,758810.7113,833523.6745
34.07908,-118.21281,1.34925,471096.5708,360774.9503,375143.1391
34.07971,-118.21282,1.3515,775619.6277,640302.2444,685198.6682
34.12178,-118.21293,1.3905,480777.8434,341026.5282,472690.5872
34.03772,-118.21318,1.18575,3211387.483,2881020.807,3155185.457
34.07713,-118.21325,1.341,815090.2018,554772.2604,821591.4622
34.0745,-118.21347,1.3305,957015.6058,809653.3019,830455.3486
34.04776,-118.21352,1.22175,606218.1912,249449.5339,404831.7532
34.08235,-118.21354,1.362,470319.6028,330377.8124,462161.7982
34.03943,-118.21372,1.191,406620.0515,297006.1808,267510.4138
34.04576,-118.21381,1.21425,1681546.159,1473899.595,1695014.825
34.07092,-118.21393,1.3155,1151662.816,706558.3142,856768.1877
34.1218,-118.21437,1.39275,844232.9258,586247.0468,850565.4406
34.06722,-118.21442,1.29975,1201477.366,883874.0258,947868.6445
34.12351,-118.21455,1.389,666862.7611,387085.8771,429892.6766
34.13776,-118.21456,1.35225,1229394.392,960603.0529,1051885.2
34.13776,-118.21456,1.35225,3549704.007,3115518.097,3526192.947
34.06659,-118.21458,1.2975,870816.5066,648553.4262,864610.867
34.081,-118.21465,1.35675,938564.5168,766361.1255,841056.8702
34.03773,-118.21475,1.18425,403648.0592,294177.9266,264784.5029
34.04377,-118.21476,1.206,1137647.322,805580.7375,870694.0288
34.03764,-118.21484,1.18425,397958.0324,260988.0148,375420.7408
34.04394,-118.21489,1.20675,1668215.892,1446680.695,1662631.508
34.03753,-118.2149,1.1835,1396537.591,1245665.514,1267015.585
34.05094,-118.21517,1.23225,418713.532,280155.0448,408484.0113
34.05101,-118.21531,1.233,1580018.473,1306443.742,1584735.348
34.07971,-118.21533,1.35075,912245.4425,689849.8781,906107.7951
34.06425,-118.21545,1.287,1775098.705,1573470.399,1788037.69
34.05205,-118.21572,1.23675,426287.82,315964.0999,313380.2255
34.05188,-118.21607,1.236,425972.1175,315656.4464,313073.2361
34.04677,-118.21609,1.2165,803706.1806,583704.8823,797448.9151
34.05385,-118.2163,1.2435,1720260.155,1514864.431,1733524.636
34.04039,-118.21632,1.1925,3381608.581,2855996.016,3351709.691
34.13166,-118.21638,1.37175,1979588.651,1735260.544,1961853.055
34.13166,-118.21638,1.37175,1872970.163,1679828.075,1885219.473
34.13458,-118.21642,1.36425,3560000.687,3132300.539,3536921.547
34.07757,-118.21686,1.34175,1324429.184,826126.3814,1158202.723
34.0704,-118.21694,1.31175,1317009.986,805068.9826,1143545.938
34.12805,-118.21701,1.38225,793594.299,659154.0242,703911.5156
34.07043,-118.21713,1.31175,1248819.573,884735.9425,930228.0404
34.12953,-118.2173,1.37925,1244730.211,980539.059,1070728.856
34.13432,-118.21735,1.3665,477522.4403,367393.1351,381782.8884
34.04348,-118.21754,1.203,1837050.002,1553612.125,1815697.028
34.0721,-118.21775,1.3185,909309.1558,736451.67,811152.3094
34.1288,-118.21785,1.38225,957436.9375,785866.4203,860467.9313
34.04371,-118.21814,1.20375,1131526.937,840342.4684,934399.6316
34.04681,-118.21825,1.21425,823753.8043,651188.9451,724962.3175
34.12804,-118.21827,1.3845,1251161,948858.2694,1006905.687
34.12921,-118.21836,1.38225,2148595.336,1813593.923,1867558.688
34.12961,-118.21858,1.3815,477508.9518,337680.3136,469398.6007
34.04465,-118.21879,1.206,1670353.664,1462118.081,1683877.466
34.12404,-118.21889,1.395,1895681.879,1692252.328,1890684.991
34.08862,-118.21909,1.3875,479691.659,339912.8432,471596.6232
34.0369,-118.21922,1.1775,881498.3139,601246.4906,859170.8377
34.03658,-118.21924,1.17675,1541797.07,1253377.397,1546869.618
34.05456,-118.21934,1.24425,1160637.003,874936.7453,968057.068
34.04519,-118.21939,1.2075,1672397.68,1464267.619,1685911.543
34.06984,-118.21941,1.30875,1247702.57,882663.9366,928216.357
34.04566,-118.21945,1.20975,414781.1787,304821.6019,302263.467
34.0466,-118.21958,1.21275,410389.0662,272399.0387,400145.5908
34.13662,-118.21997,1.36575,1866415.743,1672632.137,1878715.706
34.07068,-118.22013,1.31175,647190.7011,287395.0671,457680.8572
34.04832,-118.22019,1.21875,412966.1708,274790.2559,402726.2419
34.04282,-118.22019,1.1985,896269.6128,733337.9639,705780.0377
34.04221,-118.22025,1.19625,408919.1846,299200.6376,269627.246
34.12776,-118.22026,1.389,842183.19,583998.732,848528.4097
34.04767,-118.22034,1.21575,1144755.566,814035.0283,879075.6002
34.05216,-118.22066,1.233,700506.5289,563548.4051,626362.6769
34.04807,-118.22091,1.21725,604038.0743,247551.6584,402548.5059
34.08459,-118.22101,1.37025,948618.357,776731.296,851385.8594
34.04934,-118.22119,1.22175,1149073.726,819201.9955,884192.3854
34.05302,-118.22128,1.23675,1708451.152,1489197.561,1702948.385
34.12509,-118.22201,1.39875,1669426.925,1439186.406,1673187.247
34.04468,-118.22204,1.20375,792696.9889,573301.555,786438.1172
34.04483,-118.22218,1.2045,815317.5913,642954.8573,716563.6069
34.04675,-118.2232,1.2105,1140942.155,809491.6206,874572.7218
34.08656,-118.2244,1.37775,791002.1413,656423.4366,701204.9374
34.1228,-118.22444,1.41,955843.3469,734395.2655,949807.4484
34.09285,-118.22455,1.40475,1905925.868,1703624.329,1919166
34.14337,-118.22578,1.371,972897.4675,830511.5706,850774.6625
34.09337,-118.22594,1.407,1910373.15,1721100.606,1922320.812
34.12184,-118.22651,1.4175,813450.8675,680206.63,733933.9477
34.10442,-118.22653,1.44,1290225.169,966793.7405,1121651.555
34.12135,-118.22715,1.4205,1924208.081,1736458.382,1936038.669
34.10397,-118.22769,1.44,825714.3932,693330.5531,746824.689
34.07154,-118.22969,1.31175,456721.426,346147.2076,360444.7636
34.09692,-118.22987,1.422,497409.8263,388195.3207,430526.4628
34.07194,-118.23019,1.31325,457307.1611,346738.4989,361039.5258
34.12287,-118.23057,1.4235,492499.8014,353161.1592,484503.2244
34.10728,-118.2306,1.44225,504371.3762,395594.068,437863.0287
34.07198,-118.23092,1.31325,1806652.031,1607507.702,1819384.112
34.07236,-118.23103,1.31475,799588.7658,538448.9497,806169.4855
34.07245,-118.23111,1.31475,1805822.016,1593693.411,1800555.862
34.10627,-118.23126,1.443,698552.6716,341966.6446,502746.0297
34.10698,-118.23187,1.44375,2027770.375,1800117.665,2011484.853
34.07457,-118.23197,1.32375,1505261.561,1370547.295,1367998.709
34.12544,-118.23215,1.4175,1265293.548,1007790.213,1056858.477
34.12675,-118.23234,1.41375,489079.4611,349598.3163,481055.149
34.13218,-118.2328,1.3995,847898.3889,590280.9551,854207.8655
34.13246,-118.23285,1.39875,1255379.689,994575.9203,1083939.147
34.12926,-118.23288,1.407,492152.2635,382648.2233,425010.6408
33.94296,-118.23288,0.8925,434926.9517,316176.603,361084.9318
34.12968,-118.23294,1.4055,491621.7546,382090.4231,424455.2564
34.12982,-118.23297,1.4055,982236.6379,738217.1384,978598.273
34.13011,-118.23303,1.40475,491356.1752,381811.3132,424177.3051
34.08746,-118.23329,1.38075,837639.9915,579034.3142,844012.9172
