Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T1-100x30-S2-PS_Existing3,0.161473869,0.499587668,0.76195091,0.911254449,0.924386392
Building_T1-100x30-S2-PS_Existing4,0.120352496,0.388549995,0.674775025,0.860010728,0.901973388
Building_T1-100x30-S2-PS_Existing5,0.164816829,0.485358987,0.816847794,1.072524058,1.154088306
Building_T1-100x30-S2-PS_Existing6,0.168894963,0.529685598,0.86228725,1.14908724,1.215985669
Building_T1-100x30-S2-PS_Existing7,0.138957316,0.441700088,0.763686781,1.005500945,1.04303671
Building_T1-100x30-S2-PS_Existing8,0.116576028,0.329517483,0.557934554,0.671901602,0.681436836
Building_T1-100x30-S2-PS_Existing9,0.179266436,0.525564947,0.886110432,1.195392767,1.221524261
Building_T1-100x30-S2-PS_Existing10,0.138464538,0.368721098,0.581527508,0.651329538,0.651329538
Building_T1-100x30-S3-PS_Existing1,0.060958577,0.253566544,0.379716813,0.391947993,0.39582206
Building_T1-100x30-S3-PS_Existing2,0.077581575,0.20600133,0.34514323,0.381781159,0.384386843
Building_T1-100x30-S3-PS_Existing3,0.130843831,0.422780623,0.651418898,0.759589663,0.772042281
Building_T1-100x30-S3-PS_Existing4,0.101642677,0.313349057,0.496662288,0.530004383,0.529996345
Building_T1-100x30-S3-PS_Existing5,0.115529956,0.303209346,0.497178224,0.565804829,0.57498062
Building_T1-100x30-S3-PS_Existing6,0.053725466,0.212094386,0.329905081,0.358359068,0.358359068
Building_T1-100x30-S3-PS_Existing7,0.11985881,0.362479499,0.587282383,0.741039563,0.777471298
Building_T1-100x30-S3-PS_Existing8,0.073256851,0.193885968,0.309826179,0.326420481,0.326420481
Building_T1-100x30-S3-PS_Existing9,0.068804219,0.193627699,0.304928768,0.322738805,0.325435015
Building_T1-100x30-S3-PS_Existing10,0.079366867,0.210832476,0.316202349,0.334069821,0.334069821
Building_T2-60x50-S2-GS_Existing1,0.300258473,0.803133004,1.239224361,1.337706083,1.342492474
Building_T2-60x50-S2-GS_Existing2,0.174703935,0.547218517,0.873101115,0.987082621,0.988506618
Building_T2-60x50-S2-GS_Existing3,0.313026327,0.78124794,1.166257516,1.245633866,1.25631448
Building_T2-60x50-S2-GS_Existing4,0.163807674,0.485214197,0.74906354,0.800354893,0.805644566
Building_T2-60x50-S2-GS_Existing5,0.178469946,0.542372887,0.793006359,0.832926567,0.832951579
Building_T2-60x50-S2-GS_Existing6,0.165083077,0.491087096,0.782666562,0.853573891,0.853613898
Building_T2-60x50-S2-GS_Existing7,0.197887537,0.570922992,0.872263395,0.948754274,0.957210841
Building_T2-60x50-S2-GS_Existing8,0.223295482,0.65281263,1.052060691,1.233367504,1.233761724
Building_T2-60x50-S2-GS_Existing9,0.160700821,0.45427774,0.709924194,0.748399756,0.753199846
Building_T2-60x50-S2-GS_Existing10,0.261559347,0.712343467,1.120723544,1.213504454,1.216563949
Building_T2-60x50-S3-GS_Existing1,0.153893081,0.458411018,0.714428297,0.753152591,0.758001627
Building_T2-60x50-S3-GS_Existing2,0.126512017,0.356080329,0.460410165,0.460411762,0.460404071
