Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T4-60x50-S3-PS_Existing,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.529210975,0.514864564,0.165482,0.005544,0.00314,0.022774,0.175397,0.005831,0.003314,0.026661
Building_T4-100x50-S2-PS_Existing,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.445530046,0.354260391,0.304916,0.005882,0.003677,0.037772,0.194092,0.006461,0.003925,0.038593
Building_T4-100x50-S3-PS_Existing,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.638956514,0.507686275,0.184101,0.005585,0.003243,0.024153,0.115207,0.005707,0.003253,0.02591
Building_T1-60x30-S2-GS_Ordinance,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.330795875,0.286345067,0.582032,0.009151,0.00485,0.058618,0.526762,0.006092,0.003295,0.04077
Building_T1-60x30-S3-GS_Ordinance,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.441277905,0.390476036,0.46169,0.008436,0.004975,0.016979,0.348774,0.006287,0.003498,0.032063
Building_T1-100x30-S2-GS_Ordinance,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.368542906,0.305232989,0.566022,0.00901,0.003849,0.040629,0.344872,0.006105,0.003515,0.048134
Building_T1-100x30-S3-GS_Ordinance,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.51088751,0.436841056,0.427937,0.00743,0.003942,0.032728,0.207275,0.006089,0.003253,0.029499
Building_T1-60x30-S2-PS_Ordinance,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.378769006,0.328938237,0.542314,0.013732,0.005789,0.060666,0.411141,0.013348,0.005367,0.052942
Building_T1-60x30-S3-PS_Ordinance,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.524713152,0.450880799,0.324345,0.00666,0.00451,0.027019,0.220368,0.006564,0.004257,0.028279
Building_T1-100x30-S2-PS_Ordinance,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.443740612,0.348575071,0.510313,0.009579,0.004834,0.043527,0.244495,0.016841,0.004851,0.069752
Building_T1-100x30-S3-PS_Ordinance,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.636158608,0.49258194,0.355654,0.007682,0.00492,0.028318,0.141013,0.006997,0.004503,0.028102
Building_T2-60x50-S2-GS_Ordinance,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.338296212,0.315951688,0.530813,0.009837,0.004191,0.043502,0.422239,0.01017,0.003635,0.047098
Building_T2-60x50-S3-GS_Ordinance,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.456568608,0.436752502,0.299793,0.006226,0.00344,0.016382,0.274941,0.006775,0.003104,0.023061
Building_T2-100x50-S2-GS_Ordinance,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.392380479,0.358253793,0.567767,0.009629,0.004177,0.042211,0.296258,0.008996,0.003941,0.03444
Building_T2-100x50-S3-GS_Ordinance,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.53663897,0.478261322,0.331969,0.00644,0.003618,0.016695,0.217768,0.0073,0.003844,0.024877
Building_T2-60x50-S2-PS_Ordinance,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.41562131,0.387017023,0.447803,0.012151,0.006316,0.050012,0.3527,0.014598,0.006186,0.051619
Building_T2-60x50-S3-PS_Ordinance,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.575020279,0.528792868,0.20954,0.005923,0.00376,0.026753,0.219438,0.010817,0.005145,0.02954
Building_T2-100x50-S2-PS_Ordinance,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.5144709,0.40414527,0.477144,0.011529,0.006142,0.047927,0.236967,0.013328,0.005681,0.042169
Building_T2-100x50-S3-PS_Ordinance,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.701548683,0.540238717,0.232261,0.006071,0.003905,0.026921,0.156607,0.007943,0.005184,0.028353
Building_T3-50x30-S2-GS_Ordinance,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.317860405,0.234546753,0.602198,0.005846,0.003257,0.023849,0.493757,0.009209,0.004002,0.054456
Building_T3-50x30-S3-GS_Ordinance,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.433475822,0.339609362,0.362491,0.00493,0.002669,0.015797,0.322941,0.010758,0.003798,0.0336
Building_T3-80x30-S2-GS_Ordinance,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.335314212,0.269093162,0.601666,0.005866,0.003246,0.023431,0.472982,0.006519,0.003624,0.046251
Building_T3-80x30-S3-GS_Ordinance,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.462904793,0.391372498,0.364244,0.004993,0.002679,0.015596,0.299634,0.007127,0.003842,0.016572
Building_T3-50x30-S2-PS_Ordinance,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.351389944,0.272477119,0.478199,0.006054,0.00376,0.03806,0.461783,0.013056,0.005517,0.06025
Building_T3-50x30-S3-PS_Ordinance,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.490162937,0.398738433,0.286887,0.005815,0.00347,0.025754,0.24712,0.006633,0.004239,0.027693
Building_T3-80x30-S2-PS_Ordinance,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.414205984,0.322000417,0.454388,0.005903,0.003732,0.038272,0.337316,0.019113,0.006124,0.057894
