,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-60x30-S2-GS_Variated10_4,1,149.0,0.8662694093959731,0.0123604,0.00748649,0.054045,0.007411785312764546
Building_T1-60x30-S2-GS_Variated10_5,1,149.0,0.6801139409395973,0.00978378,0.00363964,0.0465405,0.00510615629133139
Building_T1-60x30-S3-GS_Variated1_1,1,157.0,0.7626532420382165,0.0104054,0.00608108,0.0620811,0.00558573333797431
Building_T1-60x30-S3-GS_Variated1_2,1,157.0,0.5532451949044586,0.00938739,0.00315315,0.0437117,0.004070942438820365
Building_T1-60x30-S3-GS_Variated1_3,1,157.0,0.832688629299363,0.010018,0.00543243,0.0451171,0.0059780587704796485
Building_T1-60x30-S3-GS_Variated1_4,1,157.0,0.6358748598726115,0.0103423,0.00536036,0.0619459,0.004740641930517386
Building_T1-60x30-S3-GS_Variated1_5,1,157.0,0.581214515923567,0.00466667,0.00227027,0.0572613,0.0018703423841699178
Building_T1-60x30-S3-GS_Variated2_1,1,157.0,0.5849026445859872,0.00954955,0.00202703,0.0528919,0.004671417678888026
Building_T1-60x30-S3-GS_Variated2_2,1,157.0,0.8705590000000001,0.00827027,0.00642342,0.0511622,0.0040085265831226
Building_T1-60x30-S3-GS_Variated2_3,1,157.0,0.8305995286624203,0.0116306,0.00811712,0.0463784,0.006205110810361485
Building_T1-60x30-S3-GS_Variated2_4,1,157.0,0.8172247541401274,0.0093964,0.00531532,0.0421441,0.0053164331668704825
Building_T1-60x30-S3-GS_Variated2_5,1,157.0,0.7101105605095541,0.0113874,0.00646847,0.0485045,0.005756433814470805
Building_T1-60x30-S3-GS_Variated3_1,1,142.0,0.8753189676056338,0.00847748,0.00636937,0.0502523,0.004435807764155
Building_T1-60x30-S3-GS_Variated3_2,1,142.0,0.9177840704225352,0.0114324,0.00585586,0.0484234,0.007625372818688173
Building_T1-60x30-S3-GS_Variated3_3,1,142.0,0.7131453492957747,0.00862162,0.00507207,0.0543874,0.004268220871038441
Building_T1-60x30-S3-GS_Variated3_4,1,142.0,0.6370760338028169,0.00962162,0.0037027,0.0399099,0.004718736562070649
Building_T1-60x30-S3-GS_Variated3_5,1,142.0,0.9461680056338029,0.0096036,0.00730631,0.0514595,0.00521269872337634
Building_T1-60x30-S3-GS_Variated4_1,1,163.0,0.5498383251533743,0.0115405,0.00458559,0.056027,0.00486567129830274
Building_T1-60x30-S3-GS_Variated4_2,1,163.0,0.5492626564417179,0.010982,0.00577477,0.0547207,0.004286807232184598
Building_T1-60x30-S3-GS_Variated4_3,1,163.0,0.6944893128834357,0.0138468,0.00874775,0.0653694,0.006659746841553126
Building_T1-60x30-S3-GS_Variated4_4,1,163.0,0.8274989325153375,0.0125946,0.00914414,0.0481892,0.006319119647710733
Building_T1-60x30-S3-GS_Variated4_5,1,163.0,0.6614646319018405,0.0133514,0.00358559,0.0653874,0.007192667124595734
Building_T1-60x30-S3-GS_Variated5_1,1,141.0,0.6961600127659574,0.00830631,0.00407207,0.0472432,0.004210899980003549
Building_T1-60x30-S3-GS_Variated5_2,1,141.0,0.8107981460992907,0.00689189,0.00309009,0.0458108,0.004104878325912639
Building_T1-60x30-S3-GS_Variated5_3,1,141.0,0.7877020368794326,0.00756757,0.00489189,0.0415856,0.0039887299653883004
Building_T1-60x30-S3-GS_Variated5_4,1,141.0,0.9162582085106383,0.0081982,0.00538739,0.0431261,0.004973082015530186
Building_T1-60x30-S3-GS_Variated5_5,1,141.0,0.7042622695035461,0.00665766,0.00168468,0.0405766,0.0038144170960291816
Building_T1-60x30-S3-GS_Variated6_1,1,156.0,0.8614142256410258,0.00843243,0.00508108,0.0529369,0.005014610882258985
Building_T1-60x30-S3-GS_Variated6_2,1,156.0,0.8206075615384616,0.00888288,0.00672973,0.047036,0.0042719718719248945
Building_T1-60x30-S3-GS_Variated6_3,1,156.0,0.6034290897435899,0.0107928,0.0030991,0.0388018,0.005278570655478118
Building_T1-60x30-S3-GS_Variated6_4,1,156.0,0.6054018621794872,0.00345946,0.00168468,0.0496216,0.0014322304305209358
Building_T1-60x30-S3-GS_Variated6_5,1,156.0,0.8546157282051282,0.00763063,0.00407207,0.0478468,0.0045672661000017364
Building_T1-60x30-S3-GS_Variated7_1,1,139.0,0.9129601654676259,0.0130811,0.00665766,0.0620631,0.008585321577006637
Building_T1-60x30-S3-GS_Variated7_2,1,139.0,0.6202601870503597,0.0119279,0.00344144,0.0512342,0.00599921142380298
