,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost,existing fatality,optimized fatality,ordinance
1709,34.08234,-118.28954,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,44657.32079,0.010775962,0.010775962,0.009093542
1710,34.04616,-118.28958,2,L1,HWS,60X30,3600,L1-2S-60X30-HWS,4,21886.63617,0.010666506,0.010666506,0.009212957
1711,33.73267,-118.28958,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,53554.40245,0.003386601,0.003386601,0.002665444
1712,34.05009,-118.28959,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,16894.83134,0.011112042,0.011112042,0.009678173
1713,34.04604,-118.28959,3,L3,GWB,80X30,7200,L3-3S-80X30-GWB,7,44385.93847,0.01064119,0.01064119,0.009175133
1714,33.72308,-118.28962,3,L4,HWS,60X50,9000,L4-3S-60X50-HWS,9,49491.49256,0.003158124,0.003158124,0.002533908
1715,33.96704,-118.28963,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,30483.64802,0.007205405,0.007205405,0.005954953
1716,34.08904,-118.28964,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,38042.87125,0.010755118,0.010735888,0.009142588
1717,34.00941,-118.28965,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,33919.73286,0.008859995,0.008859995,0.007520374
1718,33.89221,-118.28966,2,L1,HWS,100X30,6000,L1-2S-100X30-HWS,6,34192.69842,0.004996442,0.004996442,0.003923759
1719,34.09427,-118.28967,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,62529.92087,0.01067546,0.01061259,0.009057748
1720,34.10741,-118.2897,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,19202.04025,0.011270039,0.011270039,0.009863501
1721,34.11019,-118.28973,2,L1,HWS,60X30,3600,L1-2S-60X30-HWS,4,25990.08217,0.011019565,0.011019565,0.009571907
1722,34.1009,-118.28973,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,34949.45003,0.010523563,0.010523563,0.008977043
