Slight,Moderate,Severe,Complete
1.261523620059889,1.4003177086931702,1.5270140621255142,1.5838867351409975
1.6671748956104375,1.578075925800681,1.635260256805328,1.6630580313774
1.214657127690327,1.2849452022203982,1.327151121672623,1.342445399399458
1.5967202440370858,1.4542257398626734,1.5894526289432016,1.6289000925448234
1.2714000809479762,1.4402358561529256,1.572520070987298,1.8133297556380423
1.8034625698575173,1.7626477057095589,1.9652806858734735,2.1463651155035697
1.3166716814549024,1.2138194587589919,1.3294674851086854,1.3978822467021692
1.4075324169589136,1.3569855711755798,1.6211368007190765,1.7462840845814975
1.2767457298609795,1.2773754096577126,1.4729978619145545,1.560884458018865
1.3950748856811344,1.3691008924740091,1.4235176070632038,1.4248857187122743
1.1542041176440954,1.2234699127990323,1.5052708031906654,1.5778892495700625
1.5058578679016124,1.6440666191897475,1.7732984145557336,1.8141036555385108
1.3689408049716354,1.4451317872625467,1.6823524712283544,1.8613886999884919
1.5260636439451611,1.5496478965291778,1.8473936076389768,1.973772367027858
1.3179748472881037,1.5177786307944978,1.7320701917927686,1.9759621951075945
1.8550004214083846,1.666319749769668,2.121448712952625,2.2154357756817853
1.3932374143639692,1.333143806888818,1.2407563198580662,1.2367535755383805
1.5504386912845989,1.2794196393607098,1.2623135829269672,1.2648404858481497
1.2643986177961266,1.286220272562094,1.1944318692723677,1.1780082234780183
1.3525863577798114,1.186415848553913,1.173043778557313,1.1465866347725941
1.3727099563255285,1.3382953444105816,1.3451615294802264,1.309782740525614
1.5938349261455809,1.4159543207672198,1.4486752756423062,1.465913212293404
1.4756222828343435,1.304368605350017,1.3399174729199324,1.3724203731252824
1.3375176341248123,1.2322918233372686,1.3190240723129412,1.3293911276340384
1.0672848092806855,1.1001637339398875,1.1578509305302036,1.1802962700963693
1.224903429860429,1.1887829667724852,1.2356187854583704,1.2373385165066433
1.1183610378342341,1.115688091331652,1.1335484647472953,1.1392131944818362
1.1147030584123905,1.1001589957816387,1.1792272407689108,1.1806658797608127
1.1500831305108485,1.1504645052517435,1.1771854491618576,1.2386092254589336
1.2162132500722127,1.2553565337847101,1.4333866268640796,1.4758612717725281
1.1052795182586412,1.0698865232997363,1.11038343983328,1.130894583754226
1.2233161811094146,1.1735856155504336,1.2540440865112263,1.3252071101915395
1.1311576892681954,1.1959766681216082,1.3937953915782932,1.4246244614389936
1.2103597715503691,1.4312153571880224,1.6464519116172935,1.6621945058647247
1.224751002955564,1.2919919931236747,1.3202555975707082,1.3278724818350607
1.455692792686292,1.409453095829941,1.4467427259266472,1.449047480892157
1.2727708380490887,1.4463232297545785,1.570428532937135,1.7586277730743172
1.7987906894393184,1.7702747662440448,1.9647469354538156,2.1587905735132376
1.3271515814902843,1.2676814672617531,1.4349268169890712,1.6497704213595754
1.3908345224528194,1.3605463691701363,1.5983403781782817,1.7389682794418442
1.0874850935209923,1.1055430542038123,1.2924971809933112,1.3067887267655234
1.3238050257017262,1.436641542640635,1.6202336799373354,1.670581333689421
1.1124637123161887,1.224731938869722,1.4879525815334276,1.5297991932912487
1.4039544599609355,1.5646759147653455,1.7677757329235448,1.7998854387779377
1.3993364806123503,1.5715440606090425,1.8158404707731535,1.9378804056505021
1.6996012401432734,1.6645637205308206,2.0268833186112736,2.211595779766506
1.605663538326368,1.7786671235271498,2.0739954981041913,2.2456177146603804
1.9507285877411569,1.6626489624688652,2.1592598853881464,2.3741200416502255
1.3020828791999055,1.289006031100509,1.2850563181929315,1.2804614209522596
1.3032530094617127,1.298406097428342,1.262850075074978,1.2465863467770324
1.1100460242088432,1.1228255644007852,1.1418620881320167,1.12699602395568
1.2326140464171569,1.17256107885509,1.20340352350681,1.177753107589145
1.4736946820236467,1.3953341984726295,1.3949901992139333,1.403736307656711
1.6136060904087004,1.4574929890336463,1.4902580647346932,1.5028662581232328
1.4311096173046378,1.334318395602615,1.3705603873616774,1.4544964510057525
1.351202509867768,1.3433115469977621,1.4568205122434286,1.4476277879897046
1.049911863841235,1.0971821206723176,1.1495301455448328,1.1473505142488964
1.2239572923157531,1.2059198908754563,1.2384547755276945,1.2439209902902293
1.090396983598284,1.102762085747883,1.1047873862588218,1.1119665118932542
1.08567319726979,1.0842279374394976,1.1361288890628212,1.1364249197460303
1.171419245060288,1.1620771667129186,1.2207440451872025,1.3041067249201532
1.2020042761766672,1.218637966876487,1.3957643908279873,1.4208302726863968
1.1085897359940777,1.1222524553323623,1.178217777046381,1.2027589771763973
1.2242238767899398,1.1792140784068843,1.2585249280361186,1.2738625610307954
1.560557691557117,1.518348950176499,1.785490388461403,1.9883771675003301
1.788487919096181,1.6474660556204812,1.6162698460396467,1.617551933184554
1.3744053180560762,1.4138966320818842,1.6720698449964062,1.8167827485284165
1.7225588433262513,1.62638262430156,1.6019015109162373,1.6057458865223064
1.6352890280560655,1.6760380436341762,1.9147299074704545,2.294547838265168
1.8467263871618684,1.8023877650697957,2.037772544908696,2.226514674602839
1.3683117626122818,1.3683704783043331,1.5354402237007987,1.8908060029641
1.5520485085271734,1.5472431826661597,1.7736897024851452,1.9242973446910303
1.8571307418210516,1.834980463515166,1.9273363124499832,1.9813845499397933
1.736781923300791,1.5711554334686801,1.5163864482084584,1.5184075092630147
1.7975531501598296,1.6716756279467138,1.8117044565911684,1.8745400428590913
1.7995770978955528,1.7763521654609786,1.7648204388713684,1.7696476516866595
1.849123734576625,1.70329052205424,1.8567630455086712,2.093080718199565
1.8358797643927436,1.7557022599184973,2.031436762002051,2.127332204882435
1.7574591223003753,1.7075161240894956,2.0437982618939845,2.3798073521909053
2.024357598974919,1.7851050250872935,2.2712586871180247,2.3951120988100567
1.7679770747419896,1.6152442765691362,1.703029858460914,1.7354745161920022
1.7687084291864998,1.5728589171635416,1.4443200999476609,1.4224405532797042
1.6050390501153065,1.5639817199790835,1.599155132688119,1.6736850882229701
1.4026972616544167,1.3314400353882054,1.2958236434947812,1.267185838195248
1.9604780252891973,1.8634473406922123,2.003792603232226,2.05664311861817
1.6231511477149083,1.4635092756878527,1.5252425643141214,1.5604236261178686
1.764403561684442,1.711012521473329,1.8589317364909566,2.0045014146069167
1.54432213590341,1.384561700347586,1.5566616335710561,1.6153262026886241
1.2611469389000274,1.3241032636295997,1.388450718471725,1.3996138031521894
1.315518830713018,1.321132902178907,1.318445998507779,1.328577982039859
1.627127604416968,1.6576131178725646,1.6869571074544274,1.710753490653537
1.2955570888607955,1.2239558072632117,1.267806556832603,1.267618699489285
