,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-60x30-S2-GS_Variated9_3,1,134.0,0.8878984223880596,0.0194067,0.00816085,0.107197,0.01346711683539351
Building_T1-60x30-S2-GS_Variated9_4,1,134.0,0.9897553537313433,0.01312,0.00729621,0.0875487,0.009042458295055657
Building_T1-60x30-S2-GS_Variated9_5,1,134.0,0.7353307716417911,0.015599,0.00557788,0.107889,0.009287215481562647
Building_T1-60x30-S2-GS_Variated10_1,1,149.0,0.7163807872483222,0.018682,0.00833584,0.111474,0.010175317140818062
Building_T1-60x30-S2-GS_Variated10_2,1,149.0,0.9072739986577181,0.0249061,0.010968,0.151384,0.0172588353252837
Building_T1-60x30-S2-GS_Variated10_3,1,149.0,0.9388243134228188,0.0203883,0.00927083,0.121268,0.014318866714652986
Building_T1-60x30-S2-GS_Variated10_4,1,149.0,0.8959736134228188,0.0211869,0.0108142,0.129143,0.013890361507604417
Building_T1-60x30-S2-GS_Variated10_5,1,149.0,0.7615869570469799,0.0141203,0.00779542,0.108017,0.007565797975497911
Building_T1-60x30-S3-GS_Variated1_1,1,157.0,0.7980850101910828,0.0207601,0.00873628,0.0769432,0.012896138105023752
Building_T1-60x30-S3-GS_Variated1_2,1,157.0,0.6205429942675159,0.0142938,0.00693291,0.0974989,0.0065675859767382935
Building_T1-60x30-S3-GS_Variated1_3,1,157.0,0.8742731515923566,0.0149421,0.00801403,0.0594119,0.009325723055717251
Building_T1-60x30-S3-GS_Variated1_4,1,157.0,0.6774167630573248,0.0164448,0.00870467,0.132277,0.008057392219530462
Building_T1-60x30-S3-GS_Variated1_5,1,157.0,0.702343635031847,0.0154847,0.0064428,0.120647,0.008304139509732229
Building_T1-60x30-S3-GS_Variated2_1,1,157.0,0.6797528133757961,0.0126572,0.00547853,0.112752,0.0065478046797615465
Building_T1-60x30-S3-GS_Variated2_2,1,157.0,0.8423868000000001,0.0195996,0.00956125,0.0640255,0.011788075857250247
Building_T1-60x30-S3-GS_Variated2_3,1,157.0,0.815948458598726,0.0190518,0.0107354,0.0715178,0.010903915751221458
Building_T1-60x30-S3-GS_Variated2_4,1,157.0,0.852650380254777,0.0148753,0.00839214,0.0606766,0.008791112621823315
Building_T1-60x30-S3-GS_Variated2_5,1,157.0,0.7420235949044586,0.0185635,0.00954855,0.11478,0.010174104818333567
Building_T1-60x30-S3-GS_Variated3_1,1,142.0,0.8470295070422537,0.0153905,0.00844768,0.0594327,0.009207698704961326
Building_T1-60x30-S3-GS_Variated3_2,1,142.0,0.9493850169014084,0.0183281,0.0084347,0.0516454,0.013098567202660992
Building_T1-60x30-S3-GS_Variated3_3,1,142.0,0.7379613507042253,0.0167541,0.00752397,0.0620455,0.00947761984804235
Building_T1-60x30-S3-GS_Variated3_4,1,142.0,0.6851752845070423,0.0139034,0.00639021,0.05141,0.007144457380192795
Building_T1-60x30-S3-GS_Variated3_5,1,142.0,0.9022480633802816,0.0177785,0.00995223,0.0609527,0.010935553771335335
Building_T1-60x30-S3-GS_Variated4_1,1,163.0,0.5974446552147239,0.0166621,0.00792454,0.0754505,0.007438827308722784
Building_T1-60x30-S3-GS_Variated4_2,1,163.0,0.5791988355828221,0.0189155,0.00949272,0.0735052,0.008019225515449773
Building_T1-60x30-S3-GS_Variated4_3,1,163.0,0.7075310331288344,0.0210397,0.0114102,0.080383,0.010806555725484064
Building_T1-60x30-S3-GS_Variated4_4,1,163.0,0.7897859092024541,0.0214582,0.0123395,0.0627405,0.011561642263788642
Building_T1-60x30-S3-GS_Variated4_5,1,163.0,0.7324519398773007,0.0188182,0.00761271,0.0645824,0.010693799632422438
Building_T1-60x30-S3-GS_Variated5_1,1,141.0,0.7431144482269504,0.0134821,0.00668895,0.0599925,0.007377331363947897
Building_T1-60x30-S3-GS_Variated5_2,1,141.0,0.8625739702127659,0.0118568,0.00549034,0.0485464,0.00761672820775733
Building_T1-60x30-S3-GS_Variated5_3,1,141.0,0.8037561021276595,0.0141983,0.00688386,0.0518497,0.008476459193177148
Building_T1-60x30-S3-GS_Variated5_4,1,141.0,0.9280201716312058,0.0145452,0.00758408,0.0522684,0.009794588551556998
Building_T1-60x30-S3-GS_Variated5_5,1,141.0,0.785120465248227,0.00873769,0.004124,0.0413129,0.005019363291039926
Building_T1-60x30-S3-GS_Variated6_1,1,156.0,0.8797834987179487,0.014652,0.0071005,0.0554314,0.00959764863564506
Building_T1-60x30-S3-GS_Variated6_2,1,156.0,0.7855061769230769,0.0163636,0.00895446,0.056899,0.0089867043923157
Building_T1-60x30-S3-GS_Variated6_3,1,156.0,0.6601217294871795,0.013604,0.00613229,0.0469748,0.00681169829586166
Building_T1-60x30-S3-GS_Variated6_4,1,156.0,0.6876578891025641,0.0092786,0.00411586,0.0479642,0.00475640394956175
Building_T1-60x30-S3-GS_Variated6_5,1,156.0,0.8791247974358974,0.0120983,0.00629695,0.0462981,0.007516632359505674
Building_T1-60x30-S3-GS_Variated7_1,1,139.0,0.9699117776978418,0.0207494,0.010867,0.0849207,0.014441810810440827
Building_T1-60x30-S3-GS_Variated7_2,1,139.0,0.7063819690647481,0.0160997,0.00781626,0.114447,0.008514525432173483
Building_T1-60x30-S3-GS_Variated7_3,1,139.0,0.9614553071942447,0.0211776,0.0100595,0.0670352,0.015252136137511557
Building_T1-60x30-S3-GS_Variated7_4,1,139.0,0.9462134007194246,0.0178087,0.00976494,0.0693787,0.011593297416786172
Building_T1-60x30-S3-GS_Variated7_5,1,139.0,0.8329115035971222,0.0206298,0.00953704,0.128582,0.013037079235265222
Building_T1-60x30-S3-GS_Variated8_1,1,139.0,0.9351326892086332,0.0186011,0.00923691,0.0631622,0.012656033834605689
Building_T1-60x30-S3-GS_Variated8_2,1,139.0,0.7061110964028776,0.0175951,0.00787633,0.0629526,0.009472176073441831
Building_T1-60x30-S3-GS_Variated8_3,1,139.0,0.9691550575539568,0.0179488,0.00982469,0.0577873,0.012581806649236298
Building_T1-60x30-S3-GS_Variated8_4,1,139.0,0.841817182733813,0.0167298,0.00691289,0.0594933,0.010757530298756278
Building_T1-60x30-S3-GS_Variated8_5,1,139.0,0.9290539438848919,0.0177772,0.00979826,0.0500534,0.011672162947792658
Building_T1-60x30-S3-GS_Variated9_1,1,141.0,0.8322436921985815,0.015521,0.00832182,0.0544617,0.009201620317727163
Building_T1-60x30-S3-GS_Variated9_2,1,141.0,0.9191767191489362,0.0166182,0.00740773,0.0526342,0.01159017011902876
Building_T1-60x30-S3-GS_Variated9_3,1,141.0,0.7492464184397163,0.0140662,0.00587143,0.0539408,0.008086012718259546
Building_T1-60x30-S3-GS_Variated9_4,1,141.0,0.7394266113475177,0.0115873,0.00493904,0.0440656,0.006485153278910808
Building_T1-60x30-S3-GS_Variated9_5,1,141.0,0.703636885106383,0.0151405,0.00556842,0.0460535,0.008376957039509554
Building_T1-60x30-S3-GS_Variated10_1,1,139.0,0.9673158863309352,0.0145015,0.00710886,0.044683,0.010257292306265124
Building_T1-60x30-S3-GS_Variated10_2,1,139.0,0.820088529496403,0.0116387,0.004858,0.0498639,0.0073149461089622265
Building_T1-60x30-S3-GS_Variated10_3,1,139.0,0.7418635928057554,0.0114102,0.0046138,0.0412375,0.00656432811606452
Building_T1-60x30-S3-GS_Variated10_4,1,139.0,0.8376284273381296,0.0128645,0.00607088,0.046426,0.007979259279941434
Building_T1-60x30-S3-GS_Variated10_5,1,139.0,0.9133009258992806,0.014887,0.00829138,0.0539382,0.009280194916076848
Building_T1-100x30-S2-GS_Variated1_1,1,217.0,0.5065906728110599,0.0136313,0.00547865,0.0439782,0.005286908377398656
Building_T1-100x30-S2-GS_Variated1_2,1,217.0,0.5831538940092166,0.0124168,0.00826523,0.0533732,0.004642421618226773
Building_T1-100x30-S2-GS_Variated1_3,1,217.0,0.47821898156682024,0.0143379,0.00710765,0.059144,0.0050735288816504435
Building_T1-100x30-S2-GS_Variated1_4,1,217.0,0.464793396313364,0.0167287,0.00632717,0.0532145,0.006033316986166552
Building_T1-100x30-S2-GS_Variated1_5,1,217.0,0.6338683594470047,0.0146344,0.00759604,0.0485122,0.006672993051935815
Building_T1-100x30-S2-GS_Variated2_1,1,228.0,0.5066007394736842,0.0124164,0.00477395,0.0510508,0.004880451297912275
Building_T1-100x30-S2-GS_Variated2_2,1,228.0,0.4922888587719298,0.0124512,0.00455626,0.0516444,0.004795901891681511
Building_T1-100x30-S2-GS_Variated2_3,1,228.0,0.6299335649122808,0.0131635,0.00666692,0.0452346,0.005897417989345206
Building_T1-100x30-S2-GS_Variated2_4,1,228.0,0.6225874052631579,0.0119303,0.00641614,0.0501294,0.005258351841263215
Building_T1-100x30-S2-GS_Variated2_5,1,228.0,0.5720393789473683,0.0124071,0.00469359,0.0456745,0.005544104561298467
Building_T1-100x30-S2-GS_Variated3_1,1,205.0,0.4920941951219513,0.0104349,0.00391852,0.0395896,0.004031338397112763
Building_T1-100x30-S2-GS_Variated3_2,1,205.0,0.49594730731707315,0.0123201,0.00427934,0.0486812,0.004849644521814172
Building_T1-100x30-S2-GS_Variated3_3,1,205.0,0.6777468585365855,0.0128851,0.00625338,0.0469148,0.006335092005903529
Building_T1-100x30-S2-GS_Variated3_4,1,205.0,0.6134491678048781,0.0103622,0.00406799,0.0417149,0.004866774726208521
Building_T1-100x30-S2-GS_Variated3_5,1,205.0,0.6303739999999999,0.0125145,0.0080562,0.049113,0.005256982769845847
Building_T1-100x30-S2-GS_Variated4_1,1,237.0,0.5173548691983123,0.0109433,0.0039441,0.0412717,0.004446167946582579
Building_T1-100x30-S2-GS_Variated4_2,1,237.0,0.5957530928270042,0.0107213,0.00540065,0.0372747,0.0045603617862458945
Building_T1-100x30-S2-GS_Variated4_3,1,237.0,0.43073628016877635,0.0100105,0.00499243,0.0402563,0.003147114281792521
Building_T1-100x30-S2-GS_Variated4_4,1,237.0,0.6202909535864979,0.0107802,0.00725529,0.0449548,0.004222022300249199
Building_T1-100x30-S2-GS_Variated4_5,1,237.0,0.5492302784810126,0.0123922,0.00547066,0.0400094,0.005074021124404143
Building_T1-100x30-S2-GS_Variated5_1,1,246.0,0.47768356097560977,0.0104674,0.00419836,0.0521508,0.0038438839319684137
Building_T1-100x30-S2-GS_Variated5_2,1,246.0,0.5337018658536586,0.0136458,0.00718268,0.0540759,0.0051757728974206356
Building_T1-100x30-S2-GS_Variated5_3,1,246.0,0.44385161788617883,0.0097171,0.00364561,0.0508543,0.003396493359582224
Building_T1-100x30-S2-GS_Variated5_4,1,246.0,0.5852533089430895,0.0150987,0.00957737,0.0481419,0.005827544563192724
Building_T1-100x30-S2-GS_Variated5_5,1,246.0,0.4267767601626016,0.0132409,0.00481456,0.0420499,0.004390216891915739
Building_T1-100x30-S2-GS_Variated6_1,1,232.0,0.5949744224137932,0.0185119,0.0092321,0.0631866,0.008072697882496744
Building_T1-100x30-S2-GS_Variated6_2,1,232.0,0.5413865215517242,0.0140944,0.00622068,0.055668,0.0058012386245379355
Building_T1-100x30-S2-GS_Variated6_3,1,232.0,0.6355798793103449,0.0159236,0.00689734,0.0479436,0.007634612368084513
Building_T1-100x30-S2-GS_Variated6_4,1,232.0,0.5405983422413794,0.0144471,0.00609489,0.0592458,0.005996168115009604
Building_T1-100x30-S2-GS_Variated6_5,1,232.0,0.4718886198275862,0.013269,0.00451184,0.0530658,0.004999078708581782
Building_T1-100x30-S2-GS_Variated7_1,1,216.0,0.6776543611111111,0.0114144,0.0067396,0.0541761,0.0052378616083126215
Building_T1-100x30-S2-GS_Variated7_2,1,216.0,0.6568368101851851,0.0151135,0.00787823,0.0535485,0.007088103496389088
Building_T1-100x30-S2-GS_Variated7_3,1,216.0,0.5883879870370371,0.0116272,0.00556525,0.0445464,0.0050190625969193225
Building_T1-100x30-S2-GS_Variated7_4,1,216.0,0.6482842824074074,0.0162015,0.00822762,0.0508495,0.007581736952174753
Building_T1-100x30-S2-GS_Variated7_5,1,216.0,0.4916290509259259,0.0138005,0.00660489,0.0487331,0.005021883714523614
Building_T1-100x30-S2-GS_Variated8_1,1,234.0,0.5361837649572649,0.0134244,0.00548858,0.0476538,0.005483016870489181
Building_T1-100x30-S2-GS_Variated8_2,1,234.0,0.6144084452991454,0.00947492,0.00561768,0.0445971,0.003948841314287901
Building_T1-100x30-S2-GS_Variated8_3,1,234.0,0.5130460427350428,0.0115143,0.00500194,0.0469334,0.004474486664609821
Building_T1-100x30-S2-GS_Variated8_4,1,234.0,0.4655545,0.0106197,0.0046958,0.0473893,0.003756664398991905
Building_T1-100x30-S2-GS_Variated8_5,1,234.0,0.5085942905982905,0.0137669,0.00692004,0.0459548,0.005141044363820036
Building_T1-100x30-S2-GS_Variated9_1,1,233.0,0.6463824377682403,0.012855,0.00696439,0.0444324,0.005946253241770184
Building_T1-100x30-S2-GS_Variated9_2,1,233.0,0.4735645416309012,0.0102411,0.00318643,0.0435517,0.003961499576761813
Building_T1-100x30-S2-GS_Variated9_3,1,233.0,0.5017466763948498,0.0109251,0.00419702,0.0400151,0.004238715897250673
